"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","DS100","BASIC FOUNDATIONS OF DS","002","12315","F","8:30 AM - 11:20 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12315","Cancelled 12/16/25"
"202610","DS110","BASIC FOUNDATIONS OF AI","002","12316","M","8:30 AM - 11:20 AM","FMH 405","Open","35","34","Phan, Hai","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12316",""
"202610","DS340","FUND. AND PRIN. OF DS","002","12317","WF","8:30 AM - 9:50 AM","CKB 219","Open","30","12","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12317","Students must bring their own device for this section."
"202610","DS400","FOUNDATION OF ML","002","12318","MR","4:00 PM - 5:20 PM","CKB 310","Open","30","7","Zhang, Shuai","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12318",""
"202610","DS450","DATA VISUALIZATION","102","12319","R","6:00 PM - 8:50 PM","CKB 223","Open","40","26","Islam, Akm","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12319",""
"202610","DS487","AI FOR TD","002","12320","F","2:30 PM - 5:20 PM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12320","Cancelled 11/25/25"
"202610","DS488","INDEPENDENT STUDY IN DS","146","12321","","TBA"," ","Open","19","0","Jin, Huiran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12321","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","315","12322","","TBA"," ","Open","19","0","Ghosh, Arnob","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12322","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","486","12323","","TBA"," ","Open","19","0","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12323","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","516","16685","","TBA"," ","Open","19","0","Murphy, Kieran","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16685",".See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","531","12324","","TBA"," ","Open","19","0","Bader, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12324","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","537","12325","","TBA"," ","Open","19","1","Geller, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12325","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","540","12326","","TBA"," ","Open","19","0","Basu Roy, Senjuti","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12326","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","542","12327","","TBA"," ","Open","19","0","Li, Jing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12327","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","543","12328","","TBA"," ","Open","19","0","Sharma, Shantanu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12328","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","550","12329","","TBA"," ","Open","19","0","Roshan, Usman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12329","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","566","12330","","TBA"," ","Open","19","0","Xu, Mengjia","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12330","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","568","12331","","TBA"," ","Open","19","0","Wang, Lijing","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12331","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","570","12332","","TBA"," ","Cancelled","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12332","Cancelled 01/05/26"
"202610","DS488","INDEPENDENT STUDY IN DS","572","12333","","TBA"," ","Open","19","1","Wei, Zhi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12333","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","575","12334","","TBA"," ","Open","19","0","Zhang, Shuai","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12334","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","576","12335","","TBA"," ","Open","19","0","Rangamani, Akshay","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12335","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","582","12336","","TBA"," ","Open","19","0","Wang, Lingxiao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12336","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","606","12337","","TBA"," ","Open","19","0","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12337","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","610","12338","","TBA"," ","Open","19","0","Dasgupta, Aritra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12338","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","616","12339","","TBA"," ","Open","19","0","Phan, Hai","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12339","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","624","12340","","TBA"," ","Open","19","0","Wang, Guiling","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12340","See department for permission to enroll."
"202610","DS488","INDEPENDENT STUDY IN DS","693","12341","","TBA"," ","Open","19","0","Afkhami, Shahriar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12341","See department for permission to enroll."
"202610","DS492","DATA SCIENCE CAPSTONE I","102","12342","W","6:00 PM - 8:50 PM","CKB 106","Open","15","5","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12342",""
"202610","DS492","DATA SCIENCE CAPSTONE I - HONORS","HM2","16390","W","6:00 PM - 8:50 PM","CKB 106","Open","5","0","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16390","Honors Course"
"202610","DS493","DATA SCIENCE CAPSTONE II","102","12343","W","6:00 PM - 8:50 PM","CKB 106","Open","15","10","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12343",""
"202610","DS493","DATA SCIENCE CAPSTONE II - HONORS","HM2","16391","W","6:00 PM - 8:50 PM","CKB 106","Open","5","4","Wu, Chase","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16391","Honors Course"
"202610","DS633","ADVANCES IN RL","102","16373","M","6:00 PM - 8:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16373","Cancelled 11/24/25"
"202610","DS636","DATA ANALYTICS WITH R PROGRAM","002","12344","WF","10:00 AM - 11:20 AM","TIER 112","Open","30","6","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12344","Students must bring their own device for this section."
"202610","DS636","DATA ANALYTICS WITH R PROGRAM","1J2","12345","R","6:00 PM - 8:50 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12345","Cancelled 11/24/25"
"202610","DS636","DATA ANALYTICS WITH R PROGRAM","852","12346","","TBA"," ","Open","43","10","Li, Daming","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12346","Open to Newark and Virtual Campus Students<br />Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
