"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","ECON201","ECONOMICS","002","12905","M","11:30 AM - 2:20 PM","KUPF 210","Closed","43","43","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12905","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/26/26<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202610","ECON201","ECONOMICS","004","12906","M","11:30 AM - 2:20 PM","KUPF 210","Open","43","29","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12906","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/26/26<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202610","ECON201","ECONOMICS","006","12907","TR","2:30 PM - 3:50 PM","KUPF 104","Closed","33","33","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12907","For Non-Business Majors Only"
"202610","ECON201","ECONOMICS","102","12908","W","6:00 PM - 8:50 PM","KUPF 210","Open","43","34","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12908","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/21/26<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202610","ECON201","ECONOMICS","104","12909","W","6:00 PM - 8:50 PM","KUPF 210","Open","43","14","Bonitsis, Theologos","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12909","Hybrid Course<br />Face-to-face meetings held alternate weeks starting: 1/21/26<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Non Business Majors Only"
"202610","ECON201","ECONOMICS","452","12910","","TBA"," ","Closed","30","30","Bonitsis, Theologos","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12910","Online Course – No required meeting times<br />Non Business Majors Only<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","ECON201","ECONOMICS - HONORS","HM2","12911","TR","2:30 PM - 3:50 PM","KUPF 104","Closed","10","10","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12911","Honors Course<br />Non Business Majors Only"
"202610","ECON265","MICROECONOMICS","102","12912","W","6:00 PM - 8:50 PM","KUPF 209","Open","43","27","Chou, Porchiung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12912",""
"202610","ECON265","MICROECONOMICS","452","12913","","TBA"," ","Closed","30","30","Bataille, Edner","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12913","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","ECON265","MICROECONOMICS","454","12914","","TBA"," ","Closed","30","30","Guider, Joseph","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12914","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
