"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","ENE262","INTRO TO ENVIRONMENTAL ENGR","002","12998","R","8:30 AM - 12:50 PM","ECEC 100","Open","30","29","Schorr, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12998",""
"202610","ENE262","INTRO TO ENVIRONMENTAL ENGR","102","12999","M","6:00 PM - 10:05 PM","TIER 108","Closed","30","31","Furrey, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=12999",""
"202610","ENE262","INTRO TO ENVIRONMENTAL ENGR - HONORS","HM2","13000","R","8:30 AM - 12:50 PM","ECEC 100","Open","10","0","Schorr, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13000","Honors Course"
"202610","ENE485","ST: STORMWATER IN URBAN SYSTEMS","102","13001","W","6:00 PM - 8:50 PM","GITC 2315A","Open","25","21","Furey, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13001",""
"202610","ENE662","SITE REMEDIATION","852","13002","","TBA"," ","Cancelled","30","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13002","Cancelled 11/24/25"
"202610","ENE663","WATER CHEMISTRY","102","13003","T","6:00 PM - 8:50 PM","FMH 205","Open","25","15","Venkatesan, Arjun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13003",""
"202610","ENE664","PHYS & CHEM TREATMENT","102","13004","R","6:00 PM - 8:50 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13004","Cancelled 11/24/25"
"202610","ENE700B","MASTER'S PROJECT","181","13005","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13005","See department for permission to enroll."
"202610","ENE700B","MASTER'S PROJECT","182","13006","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13006","See department for permission to enroll."
"202610","ENE700B","MASTER'S PROJECT","197","13007","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13007","See department for permission to enroll."
"202610","ENE700B","MASTER'S PROJECT","198","13008","","TBA"," ","Open","19","0","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13008","See department for permission to enroll."
"202610","ENE700B","MASTER'S PROJECT","211","13009","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13009","See department for permission to enroll."
"202610","ENE700B","MASTER'S PROJECT","214","13010","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13010","See department for permission to enroll."
"202610","ENE700B","MASTER'S PROJECT","218","13011","","TBA"," ","Open","19","0","Venkatesan, Arjun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13011","See department for permission to enroll."
"202610","ENE701B","MASTER'S THESIS","181","13012","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13012","See department for permission to enroll."
"202610","ENE701B","MASTER'S THESIS","182","13013","","TBA"," ","Open","19","0","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13013","See department for permission to enroll."
"202610","ENE701B","MASTER'S THESIS","197","13014","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13014","See department for permission to enroll."
"202610","ENE701B","MASTER'S THESIS","198","13015","","TBA"," ","Open","19","0","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13015","See department for permission to enroll."
"202610","ENE701B","MASTER'S THESIS","211","13016","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13016","See department for permission to enroll."
"202610","ENE701B","MASTER'S THESIS","214","13017","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13017","See department for permission to enroll."
"202610","ENE701B","MASTER'S THESIS","218","13018","","TBA"," ","Open","19","0","Venkatesan, Arjun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13018","See department for permission to enroll."
"202610","ENE725","INDEPENDENT STUDY I","181","13019","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13019","See department for permission to enroll."
"202610","ENE725","INDEPENDENT STUDY I","182","13020","","TBA"," ","Open","19","2","Boufadel, Michel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13020","See department for permission to enroll."
"202610","ENE725","INDEPENDENT STUDY I","197","13021","","TBA"," ","Open","19","0","Olenik, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13021","See department for permission to enroll."
"202610","ENE725","INDEPENDENT STUDY I","198","13022","","TBA"," ","Open","19","1","Zhang, Wen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13022","See department for permission to enroll."
"202610","ENE725","INDEPENDENT STUDY I","211","13023","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13023","See department for permission to enroll."
"202610","ENE725","INDEPENDENT STUDY I","214","13024","","TBA"," ","Open","19","0","Ding, Yuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13024","See department for permission to enroll."
"202610","ENE725","INDEPENDENT STUDY I","218","13025","","TBA"," ","Open","19","0","Venkatesan, Arjun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13025","See department for permission to enroll."
"202610","ENE725","INDEPENDENT STUDY I","850","16484","","TBA"," ","Open","19","0","Marhaba, Taha","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16484","See department for permission to enroll.<br />Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","ENE726","INDEPENDENT STUDY","181","13026","","TBA"," ","Open","19","0","Pennock, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13026","See department for permission to enroll."
