"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","ENTR210","INTRO TO ENTREPRENEURSHIP","002","13156","TF","2:30 PM - 3:50 PM","ECEC 100","Closed","43","43","Zhang, Xi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13156",""
"202610","ENTR210","INTRO TO ENTREPRENEURSHIP","102","13157","W","6:00 PM - 8:50 PM","WEST LECT 2","Closed","43","43","Olotewo, Akpesiri","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13157",""
"202610","ENTR210","INTRO TO ENTREPRENEURSHIP","452","13158","","TBA"," ","Closed","43","43","Madda, Shrutika","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13158","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","ENTR210","INTRO TO ENTREPRENEURSHIP","454","13159","","TBA"," ","Closed","30","30","Zhang, Xi","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13159","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","ENTR210","INTRO TO ENTREPRENEURSHIP","456","13160","","TBA"," ","Closed","30","30","Madda, Shrutika","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13160","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","ENTR210","INTRO TO ENTREPRENEURSHIP - HONORS","H02","13161","MW","11:30 AM - 12:50 PM","DHRH 210","Open","30","19","Naasz, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13161","Honors Course"
"202610","ENTR320","FINANCING NEW VENTURE","002","13162","TR","11:30 AM - 12:50 PM","KUPF 203","Closed","43","43","Annett, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13162",""
"202610","ENTR320","FINANCING NEW VENTURE","452","13163","","TBA"," ","Closed","30","30","Annett, Mark","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13163","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","ENTR320","FINANCING NEW VENTURE","454","16427","","TBA"," ","Closed","30","30","Annett, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16427","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","ENTR330","ENTREPRENEURIAL STRATEGY","102","13164","M","6:00 PM - 8:50 PM","CKB 124","Open","43","16","Bandera, Cesar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13164",""
"202610","ENTR330","ENTREPRENEURIAL STRATEGY","452","15876","","TBA"," ","Open","30","15","Bandera, Cesar","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15876","Restricted to Online Accelerated Degree Completion Only<br />Class meets second half of the semester 03/10/26 to 05/14/26<br />Online course - No required meeting time<br />https://www.njit.edu/registrar/instructionaldelivery"
