"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","EVSC125","FUNDAMENTALS OF ENVR SCIENCES","002","13181","TF","10:00 AM - 11:20 AM","FMH 407","Closed","35","35","Bonchonsky, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13181",""
"202610","EVSC325","ENERGY AND ENVIRONMENT","102","13182","R","6:00 PM - 8:50 PM","CKB 341","Open","25","11","Meng, Xianyang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13182",""
"202610","EVSC340","ENVIRONMENTAL HEALTH","452","13183","","TBA"," ","Closed","30","30","Bonchonsky, Michael","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13183","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","EVSC375","ENVIRONMENTAL BIOLOGY","102","13184","W","6:00 PM - 8:50 PM","FMH 313","Open","25","22","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13184",""
"202610","EVSC391","RESEARCH AND INDEPENDENT STUDY","843","13185","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13185","See department for permission to enroll."
"202610","EVSC416","PRINCIPLES OF TOXICOLOGY","002","13186","WF","10:00 AM - 11:20 AM","CULM LECT 3","Closed","25","25","Warner, Genoa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13186",""
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","131","13187","","TBA"," ","Open","19","0","Sadik, Wunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13187","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","132","13188","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13188","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","135","13189","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13189","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","136","13190","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13190","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","137","13191","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13191","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","138","13192","","TBA"," ","Open","19","0","Shakib, Farnaz","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13192","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","141","13193","","TBA"," ","Open","19","0","Casado Zapico, Sai","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13193","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","142","13194","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13194","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","143","13195","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13195","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","144","13196","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13196","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","148","13197","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13197","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","151","13198","","TBA"," ","Open","19","0","Warner, Genoa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13198","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","152","13199","","TBA"," ","Open","19","0","Zhang, Yuanwei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13199","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","156","13200","","TBA"," ","Open","19","0","Farinas, Edgardo","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13200","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","158","13201","","TBA"," ","Open","19","0","Khalizov, Alexei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13201","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","161","13202","","TBA"," ","Open","19","0","Del Castillo, Trevor","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13202","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","162","13203","","TBA"," ","Open","19","0","Jimenez Aleman, Guillermo","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13203","See department for permission to enroll."
"202610","EVSC591","GRADUATE WORK EXPERIENCE I","843","13204","","TBA"," ","Open","19","0","Qiu, Zeyuan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13204","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","131","13205","","TBA"," ","Open","19","0","Sadik, Wunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13205","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","132","13206","","TBA"," ","Open","19","0","Chen, Hao","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13206","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","135","13207","","TBA"," ","Open","19","0","Champagne, Pier Alexandre","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13207","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","136","13208","","TBA"," ","Open","19","0","Gund, Tamara","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13208","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","137","13209","","TBA"," ","Open","19","0","Eberhart, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13209","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","138","13210","","TBA"," ","Open","19","0","Shakib, Farnaz","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13210","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","141","13211","","TBA"," ","Open","19","0","Casado Zapico, Sai","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13211","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","142","13212","","TBA"," ","Open","19","0","Belfield, Kevin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13212","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","143","13213","","TBA"," ","Open","19","0","Li, Mengyan","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13213","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","144","13214","","TBA"," ","Open","19","0","Zhang, Lijie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13214","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","148","13215","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13215","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","151","13216","","TBA"," ","Open","19","0","Warner, Genoa","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13216","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","152","13217","","TBA"," ","Open","19","0","Zhang, Yuanwei","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13217","See department for permission to enroll."
"202610","EVSC592","GRADUATE WORK EXPERIENCE II","156","13218","","TBA"," ","Open","19","0","Farinas, Edgardo","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13218","See department for permission to enroll."
