"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","FED101","FUNDAMENTALS OF ENGR DESIGN","BPS","16553","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16553","For Boonton Public Schools Students Only"
"202610","FED101","FUNDAMENTALS OF ENGR DESIGN","EST","16556","","TBA"," ","Closed","0","14","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16556","For Essex School of Technology Students Only"
"202610","FED101","FUNDAMENTALS OF ENGR DESIGN","HS1","15863","S","9:00 AM - 11:50 AM","CKB 215","Closed","0","17","Cheraghali, Danial","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15863","For High School Students Only"
"202610","FED101","FUNDAMENTALS OF ENGR DESIGN","JDT","16557","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16557","For John E. Dwyer Technology Academy Students Only"
"202610","FED101","FUNDAMENTALS OF ENGR DESIGN","MWH","16555","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16555","For Mahwah High School Students Only"
"202610","FED101","FUNDAMENTALS OF ENGR DESIGN","PAC","16702","","TBA"," ","Closed","0","6","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16702","For Paterson Charter School for Science & Tech Students Only"
"202610","FED101","FUNDAMENTALS OF ENGR DESIGN","SCT","16554","","TBA"," ","Closed","0","15","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16554","For Sussex County Technical School Students Only"
"202610","FED101","ME - FUNDAMENTALS OF ENGR DESIGN","024","13356","MR","2:30 PM - 3:50 PM","MALL PC39","Closed","30","30","Mani, Balraj","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13356","ME Students ONLY"
"202610","FED101","ME - FUNDAMENTALS OF ENGR DESIGN","026","13357","TF","2:30 PM - 3:50 PM","ME 219","Open","30","29","Mu, Xiaoming","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13357","ME Students ONLY"
"202610","FED101","ME - FUNDAMENTALS OF ENGR DESIGN","028","13358","TR","11:30 AM - 12:50 PM","GITC 2302","Closed","30","30","Mu, Xiaoming","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13358","ME Students ONLY"
"202610","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","002","13353","R","10:00 AM - 11:20 AM","KUPF 117","Closed","28","28","Tchouassi, Lucie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13353","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
"202610","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","002","13353","T","2:30 PM - 3:50 PM","MALL PC37","Closed","28","28","Tchouassi, Lucie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13353","For BME, CHE, CE, EE, COE, GEN, IE, & MTEN Majors Only"
"202610","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","004","13354","M","11:30 AM - 12:50 PM"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13354","Cancelled 01/08/26"
"202610","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","004","13354","R","10:00 AM - 11:20 AM"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13354","Cancelled 01/08/26"
"202610","FED101","NCE- FUNDAMENTALS OF ENGR DESIGN","006","13355","M","8:30 AM - 9:50 AM"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13355","Cancelled 01/08/26"
