"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","FIN218","FINANCL MARKETS & INSTITUTIONS","002","13363","TR","1:00 PM - 2:20 PM","CKB G-08","Closed","33","33","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13363",""
"202610","FIN218","FINANCL MARKETS & INSTITUTIONS","004","13364","MW","10:00 AM - 11:20 AM","CULM LECT 2","Closed","43","43","Eliopoulos, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13364",""
"202610","FIN218","FINANCL MARKETS & INSTITUTIONS","102","13365","M","6:00 PM - 8:50 PM","ME 221","Closed","43","43","Hammond, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13365",""
"202610","FIN218","FINANCL MARKETS & INSTITUTIONS","104","13366","T","6:00 PM - 8:50 PM","KUPF 106","Closed","43","43","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13366",""
"202610","FIN218","FINANCL MARKETS & INSTITUTIONS","452","13367","","TBA"," ","Closed","30","30","Wang, Jinghua","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13367","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","FIN218","FINANCL MARKETS & INSTITUTIONS - HONORS","HM2","13368","MW","10:00 AM - 11:20 AM","CULM LECT 2","Open","10","7","Eliopoulos, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13368","Honors Course"
"202610","FIN306","BLOCKCHAIN TECH FOR BUSINESS","002","13369","MW","1:00 PM - 2:20 PM","KUPF 203","Closed","38","38","Shi, Jim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13369","Students must bring their own device for this section."
"202610","FIN306","BLOCKCHAIN TECH FOR BUSINESS","HM2","13370","MW","1:00 PM - 2:20 PM","KUPF 203","Closed","5","5","Shi, Jim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13370","Students must bring their own device for this section."
"202610","FIN310","DATA-DRIVEN FINANCIAL MODELING","002","13371","MW","10:00 AM - 11:20 AM","FMH 306","Closed","39","39","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13371",""
"202610","FIN310","DATA-DRIVEN FINANCIAL MODELING - HONORS","HM2","13372","MW","10:00 AM - 11:20 AM","FMH 306","Closed","4","4","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13372","Honors Course"
"202610","FIN315","FUND OF CORPORATE FINANCE","002","13373","WF","10:00 AM - 11:20 AM","CULM LECT 1","Closed","31","31","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13373",""
"202610","FIN315","FUND OF CORPORATE FINANCE","004","13374","WF","1:00 PM - 2:20 PM","CULM LECT 1","Closed","43","43","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13374",""
"202610","FIN315","FUND OF CORPORATE FINANCE","102","13375","R","6:00 PM - 8:50 PM","KUPF 208","Closed","43","43","Domasky, Peter","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13375",""
"202610","FIN315","FUND OF CORPORATE FINANCE","452","13376","","TBA"," ","Closed","30","30","Liu, Yanguang","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13376","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","FIN315","FUND OF CORPORATE FINANCE","454","13377","","TBA"," ","Closed","30","30","Desanto, Elliot","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13377","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","FIN315","FUND OF CORPORATE FINANCE","456","13378","","TBA"," ","Closed","30","30","Desanto, Elliot","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13378","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","FIN315","FUND OF CORPORATE FINANCE - HONORS","HM2","13379","WF","10:00 AM - 11:20 AM","CULM LECT 1","Open","12","10","Fox, Wayne","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13379","Honors Course"
"202610","FIN320","FIN DATA ANALYTICS","002","13380","MR","2:30 PM - 3:50 PM","WEST LECT 2","Closed","43","43","Liu, Yanguang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13380",""
"202610","FIN403","FINANCIAL STATEMENT ANALYSIS","452","15877","","TBA"," ","Open","30","21","Athari, Mahtab","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15877","Restricted for Online accelerated degree completion students<br />Class meets second half of the semester 03/10/26 to 05/14/26<br />Online course - No required meeting time<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","FIN403","FINANCIAL STATEMENT ANALYSIS","454","13381","","TBA"," ","Closed","22","22","Athari, Mahtab","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13381","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
