"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","FRSC201","INTRO TO FORENSIC SCIENCE","002","13396","MW","10:00 AM - 11:20 AM","CKB 214","Open","27","26","Fisher, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13396",""
"202610","FRSC201","INTRO TO FORENSIC SCIENCE","004","13397","TR","2:30 PM - 3:50 PM","CKB 207","Closed","27","27","Parmelee, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13397",""
"202610","FRSC201","INTRO TO FORENSIC SCIENCE","102","16579","R","6:00 PM - 8:50 PM"," ","Cancelled","24","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16579","Cancelled 01/08/26"
"202610","FRSC201","INTRO TO FORENSIC SCIENCE","HS1","16446","S","9:00 AM - 11:50 AM","CKB 220","Closed","0","12","Carman, Pamela","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16446","For High School Students Only"
"202610","FRSC201","INTRO TO FORENSIC SCIENCE","IHS","16486","","TBA"," ","Closed","0","8","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16486","For Irvington High School Students Only"
"202610","FRSC201","INTRO TO FORENSIC SCIENCE","KPS","16487","","TBA"," ","Closed","0","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16487","For Kearny Public Schools Students Only"
"202610","FRSC201","INTRO TO FORENSIC SCIENCE","MWH","16488","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16488","For Mahwah High School Students Only"
"202610","FRSC307","CRIME SCENE INVESTIGATION &LAB","002","13398","R","8:30 AM - 10:25 AM","KUPF 205","Closed","20","20","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13398",""
"202610","FRSC307","CRIME SCENE INVESTIGATION &LAB","002","13398","T","8:30 AM - 12:50 PM","TIER 209","Closed","20","20","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13398",""
"202610","FRSC307","CRIME SCENE INVESTIGATION &LAB","004","13399","R","8:30 AM - 10:25 AM","KUPF 205","Open","20","19","Parmelee, Kevin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13399",""
