"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","IE224","PRODUCTION PROCESS DESIGN","002","13576","T","11:30 AM - 2:20 PM","GITC 2305","Closed","30","31","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13576",""
"202610","IE331","APPLIED STATISTICAL METHODS","002","13577","MR","4:00 PM - 5:20 PM","GITC 2305","Open","30","16","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13577",""
"202610","IE334","ENGR ECO & CPTL INV ANAL","002","13578","TF","10:00 AM - 11:20 AM","GITC 2305","Open","30","23","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13578",""
"202610","IE335","ENGR COST ANAL & CONTROL","452","13579","","TBA"," ","Closed","40","42","Dumay, Dielanda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13579","Online Course - No Required Meeting Time<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","IE355","HUMAN FACTORS IN IE","102","13580","W","6:00 PM - 8:50 PM","CULM LECT 1","Open","40","32","Ranky, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13580",""
"202610","IE440","STOCHASTIC MOD IN OPER RESRCH","102","13581","R","6:00 PM - 8:50 PM","ME 221","Open","36","9","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13581",""
"202610","IE440","STOCHASTIC MOD IN OPER RESRCH - HONORS","HM2","13582","R","6:00 PM - 8:50 PM","ME 221","Open","7","2","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13582","Honors Course"
"202610","IE444","SENIOR PROJECT II","002","13583","R","11:30 AM - 3:50 PM","ME 221","Open","36","13","Abdel-Malek, Layek","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13583",""
"202610","IE444","SENIOR PROJECT II - HONORS","HM2","13584","R","11:30 AM - 3:50 PM","ME 221","Open","7","0","Abdel-Malek, Layek","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13584","Honors Course"
"202610","IE445","SIM MODEL INDUST SYSTEMS","102","13585","M","6:00 PM - 8:50 PM","GITC 2305","Open","30","10","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13585",""
"202610","IE447","LEGAL ASPECTS OF ENGINEERING","452","13586","","TBA"," ","Closed","40","41","Avoryie, Abigail","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13586","Online Course - No Required Meeting Time<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","IE449","INDUSTRIAL ROBOTICS","102","13587","T","6:00 PM - 10:05 PM","GITC 2311","Closed","24","24","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13587",""
"202610","IE450","PRODUCT ENGINEERING STANDARDS","002","16694","M","8:30 AM - 11:20 AM","GITC 2310","Open","20","12","Aristilde, Evens","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16694","See department for permission to enroll."
"202610","IE459","SUPPLY CHAIN AND PROD PLANNING","002","13588","MW","1:00 PM - 2:20 PM","GITC 2305","Open","30","11","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13588",""
"202610","IE459","SUPPLY CHAIN AND PROD PLANNING - HONORS","HM2","13589","MW","1:00 PM - 2:20 PM","GITC 2305","Open","5","0","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13589","Honors Course"
"202610","IE463","INVENTION AND ENTREPRENEURSHIP","002","13590","W","8:30 AM - 11:20 AM"," ","Cancelled","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13590","Cancelled 01/20/26"
"202610","IE466","MATRLS MGT & DIST LGSTCS","002","13591","MW","11:30 AM - 12:50 PM","GITC 2305","Open","30","15","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13591",""
"202610","IE481","INVSTGTNS IN INDS ENGR I","361","13592","","TBA"," ","Open","19","0","Barak Ventura, Roni","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13592","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","362","13593","","TBA"," ","Open","19","0","Yin, Wei","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13593","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","390","13594","","TBA"," ","Open","19","1","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13594","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","391","13595","","TBA"," ","Open","19","0","Bengu, Golgen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13595","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","392","13596","","TBA"," ","Open","19","1","Bladikas, Athanassios","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13596","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","394","13597","","TBA"," ","Open","19","0","Das, Sanchoy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13597","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","400","13598","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13598","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","402","13599","","TBA"," ","Open","19","0","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13599","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","403","13600","","TBA"," ","Open","19","0","Tricamo, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13600","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","407","13601","","TBA"," ","Open","19","0","Ranky, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13601","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","462","13602","","TBA"," ","Open","19","1","Park, SangWoo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13602","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","486","13603","","TBA"," ","Open","19","0","Shen, Bo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13603","See department for permission to enroll."
"202610","IE481","INVSTGTNS IN INDS ENGR I","487","13604","","TBA"," ","Open","19","0","Cai, Wenbo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13604","See department for permission to enroll."
"202610","IE492","ENGINEERING MANAGEMENT","102","13605","F","6:00 PM - 8:50 PM","ME 221","Open","43","39","Desai, Amit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13605",""
"202610","IE492","ENGINEERING MANAGEMENT","452","13606","","TBA"," ","Closed","43","43","Ranky, Paul","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13606","Online Course - No Required Meeting Time<br />https://www.njit.edu/registrar/instructionaldelivery"
