"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","INT222","BUILDING & INTERIOR SYSTEMS II","002","13717","TF","10:00 AM - 11:20 AM","FMH 110","Open","30","20","Garcia Figueroa, Julio","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13717",""
"202610","INT223","STRUCTURAL PRINCIPLES","002","13718","MR","10:00 AM - 11:20 AM","FMH 407","Open","30","19","Ogorzalek, Thomas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13718",""
"202610","INT264","INTERIOR DESIGN STUDIO II","002","13719","MR","1:00 PM - 5:20 PM"," ","Open","12","8","Soltani, Banafsheh","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13719",""
"202610","INT264","INTERIOR DESIGN STUDIO II","004","13720","MR","1:00 PM - 5:20 PM"," ","Open","12","9","Garcia Figueroa, Julio","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13720",""
"202610","INT322","CONTRACT DOCUMENTS","102","13721","T","6:00 PM - 8:50 PM","TIER 113","Open","25","20","Cudia, Megan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13721",""
"202610","INT351","FURNITURE DESIGN","002","13722","W","11:30 AM - 2:20 PM","WEST 210","Open","15","13","Brothers, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13722",""
"202610","INT364","INTERIOR DESIGN STUDIO IV","002","13723","MR","1:00 PM - 5:20 PM"," ","Open","10","9","Williamson, Holly","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13723",""
"202610","INT364","INTERIOR DESIGN STUDIO IV","004","16572","MR","1:00 PM - 5:20 PM"," ","Closed","10","10","Rocha, Paula","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16572",""
"202610","INT464","INTERIOR DESIGN STUDIO V","002","13724","MR","1:00 PM - 5:20 PM"," ","Closed","12","12","Brothers, David","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13724",""
"202610","INT464","INTERIOR DESIGN STUDIO V","004","13725","MR","1:00 PM - 5:20 PM"," ","Open","12","7","Rolim, Ana","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=13725",""
