"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","MATH105","ELEM PROBABILITY & STATISTICS","002","14174","TR","10:00 AM - 11:20 AM","FMH 305","Closed","34","35","Kim, Chulmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14174",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","004","14175","TF","1:00 PM - 2:20 PM","TIER 111","Closed","37","37","Carter, Sunletha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14175",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","006","14176","MW","11:30 AM - 12:50 PM","TIER 111","Closed","37","37","DeGroot, Jack","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14176",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","008","14177","TF","4:00 PM - 5:20 PM","TIER 107","Closed","37","37","Salters, Caroline","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14177",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","010","14178","TR","8:30 AM - 9:50 AM","TIER 111","Closed","37","37","Horwitz, Kenneth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14178",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","012","14179","TF","2:30 PM - 3:50 PM","TIER 111","Closed","37","37","Carter, Sunletha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14179",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","014","14180","TR","4:00 PM - 5:20 PM","KUPF 211","Open","37","36","Kim, Chulmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14180",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","018","14181","TR","11:30 AM - 12:50 PM","TIER 107","Closed","37","38","Kim, Chulmin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14181",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","020","14182","MW","10:00 AM - 11:20 AM","TIER 105","Closed","37","37","DeGroot, Jack","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14182",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","022","14183","MR","2:30 PM - 3:50 PM","FMH 207","Closed","34","34","Jean, Jason","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14183",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","024","16655","TF","2:30 PM - 3:50 PM","CKB 313","Closed","34","34","Horwitz, Kenneth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16655",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","102","14184","W","6:00 PM - 8:50 PM","TIER 111","Closed","37","37","Kariuki, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14184",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","104","14185","T","6:00 PM - 8:50 PM","FMH 110","Closed","37","38","Potocki-Dul, Magdallena","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14185",""
"202610","MATH105","ELEM PROBABILITY & STATISTICS","HPH","16534","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16534","For High Point Regional High School Students Only"
"202610","MATH105","ELEM PROBABILITY & STATISTICS","PSE","16533","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16533","For Passaic Academy for Science & Engineering Students Only"
"202610","MATH105","ELEM PROBABILITY & STATISTICS- HONORS","H02","14186","TF","2:30 PM - 3:50 PM"," ","Cancelled","34","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14186","Cancelled 01/13/26"
"202610","MATH107","UNIVERSITY MATHEMATICS A","002","14187","MR","1:00 PM - 2:20 PM","CKB 226","Closed","34","34","Jean, Jason","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14187","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202610","MATH107","UNIVERSITY MATHEMATICS A","004","14188","MR","2:30 PM - 3:50 PM","CKB 313","Open","34","28","Okoth, Joyce","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14188","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202610","MATH107","UNIVERSITY MATHEMATICS A","006","14189","TF","10:00 AM - 11:20 AM","KUPF 117","Closed","34","34","Gupta, Shalini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14189","This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
