"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","MECH234","ENGINEERING MECHANICS","002","14644","R","10:00 AM - 11:55 AM","CKB 303","Open","80","25","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14644","Hybrid Course<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202610","MECH234","ENGINEERING MECHANICS","002","14644","R","12:10 PM - 1:10 PM","CKB 303","Open","80","25","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14644","Hybrid Course<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202610","MECH234","ENGINEERING MECHANICS","004","14645","W","10:00 AM - 11:55 AM","KUPF 211","Open","80","75","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14645","Hybrid Course<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202610","MECH234","ENGINEERING MECHANICS","004","14645","W","12:10 PM - 1:10 PM","KUPF 211","Open","80","75","Milano, Geraldine","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14645","Hybrid Course<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery<br />This course has common exams.<br />See https://www.njit.edu/registrar/exams/ for details."
"202610","MECH235","STATICS","002","14646","M","1:00 PM - 2:00 PM","TIER 105","Closed","35","35","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14646","Hybrid Course<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH235","STATICS","002","14646","MW","10:00 AM - 11:20 AM","GITC 1400","Closed","35","35","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14646","Hybrid Course<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH235","STATICS","004","14647","MW","10:00 AM - 11:20 AM","GITC 1400","Open","35","31","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14647","Hybrid Course<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH235","STATICS","004","14647","T","2:30 PM - 3:30 PM","KUPF 202","Open","35","31","Saigal, Sunil","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14647","Hybrid Course<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH236","DYNAMICS","002","14648","M","2:30 PM - 4:25 PM","GITC 1400","Open","90","76","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14648","Hybrid Course - Non-Civil Engineering Students Only<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH236","DYNAMICS","004","14649","W","11:30 AM - 1:25 PM","KUPF 108","Closed","40","40","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14649","Hybrid Course - Non-Civil Engineering Students Only<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH236","DYNAMICS","006","14650","T","2:30 PM - 4:25 PM","TIER 113","Open","40","39","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14650","Hybrid Course - Non-Civil Engineering Students Only<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH236","DYNAMICS - HONORS","HM2","14651","M","2:30 PM - 4:25 PM","GITC 1400","Closed","10","10","Ding, Yuan","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14651","Honors Course<br />Hybrid Course<br />See syllabus for all F2F meeting information.<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH237","STRENGTH OF MATERIALS","002","14652","R","2:30 PM - 5:20 PM","GITC 1400","Closed","24","24","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14652","Hybrid Course -Non-Civil Engineering Students Only<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH237","STRENGTH OF MATERIALS","002","14652","R","8:30 AM - 9:30 AM","COLT 422","Closed","24","24","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14652","Hybrid Course -Non-Civil Engineering Students Only<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH237","STRENGTH OF MATERIALS","004","14653","R","10:00 AM - 11:00 AM","COLT 422","Closed","24","24","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14653","Hybrid Course - Non-Civil Engineering Students Only<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MECH237","STRENGTH OF MATERIALS","004","14653","R","2:30 PM - 5:20 PM","GITC 1400","Closed","24","24","Castro, Eduardo","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14653","Hybrid Course - Non-Civil Engineering Students Only<br />See syllabus for all F2F meeting information<br />https://www.njit.edu/registrar/instructionaldelivery"
