"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","MIS245","INTRO TO MNGMNT INFO SYST","002","14750","TF","10:00 AM - 11:20 AM","KUPF 106","Closed","43","43","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14750","Students must bring their own device for this section."
"202610","MIS245","INTRO TO MNGMNT INFO SYST","004","14751","TF","2:30 PM - 3:50 PM","KUPF 106","Closed","43","43","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14751","Students must bring their own device for this section."
"202610","MIS245","INTRO TO MNGMNT INFO SYST","452","14752","","TBA"," ","Closed","43","43","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14752","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MIS245","INTRO TO MNGMNT INFO SYST","454","14753","","TBA"," ","Closed","30","30","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14753","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MIS245","INTRO TO MNGMNT INFO SYST","456","14754","","TBA"," ","Closed","30","30","Lovitch, Ira","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14754","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MIS245","INTRO TO MNGMNT INFO SYST","458","14755","","TBA"," ","Open","30","29","Keslin, Gregory","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14755","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MIS363","PROJCT MNGMNT FOR MANAGERS","002","14756","TF","4:00 PM - 5:20 PM","KUPF 106","Open","43","21","Haies, Frances","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14756","Students must bring a laptop with a Windows Operating System<br />for this section."
"202610","MIS363","PROJCT MNGMNT FOR MANAGERS","102","14757","M","6:00 PM - 8:50 PM","CKB 217","Open","43","35","Moodey, Paul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14757","Students must bring a laptop with a Windows Operating System<br />for this section."
"202610","MIS363","PROJCT MNGMNT FOR MANAGERS","452","15849","","TBA"," ","Open","30","14","Chen, Yi","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15849","Restricted to Online Accelerated Degree Completion Only<br />Class meets first half of the semester 01/20/26 to 03/09/26<br />Students need a computer with Windows operating system.<br />Online course - No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","MIS385","DATABASE SYSTEMS FOR MANAGERS","002","14758","TR","1:00 PM - 2:20 PM","FMH 306","Closed","43","43","Kargar, Bahareh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14758","Students must bring their own device for this section."
