"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","MNET215","MATS. AND PROCESSES FOR TECH.","102","14767","R","6:00 PM - 7:55 PM","GITC 2311","Open","20","0","Orlos, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14767",""
"202610","MNET215","MATS. AND PROCESSES FOR TECH.","102","14767","R","8:05 PM - 10:00 PM","GITC 2311","Open","20","0","Orlos, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14767",""
"202610","MNET215","MATS. AND PROCESSES FOR TECH.","104","14768","M","6:00 PM - 7:55 PM","GITC 2311","Open","20","0","Das, Amit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14768",""
"202610","MNET215","MATS. AND PROCESSES FOR TECH.","104","14768","M","8:05 PM - 10:00 PM","GITC 2311","Open","20","0","Das, Amit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14768",""
"202610","MNET300","CONCEPTS IN MACHINING","002","14769","MW","8:30 AM - 10:35 AM","GITC 2311","Open","15","0","Edlefsen, Blaine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14769",""
"202610","MNET303","ADV TECH IN CAD/CAM","102","14770","M","6:00 PM - 10:05 PM","GITC 2302","Open","20","0","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14770",""
"202610","MNET315","INDUSTRIAL STATISTICS","002","14771","TR","8:30 AM - 10:35 AM","GITC 2302","Open","30","0","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14771",""
"202610","MNET315","INDUSTRIAL STATISTICS","102","14772","F","6:00 PM - 10:05 PM","GITC 2302","Open","30","0","May, Edwin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14772",""
"202610","MNET414","INDUSTRIAL COST ANALYSIS","002","14773","TR","2:30 PM - 3:50 PM","FMH 404","Open","25","0","Chaudhuri, Ajit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14773",""
"202610","MNET414","INDUSTRIAL COST ANALYSIS","102","14774","W","6:00 PM - 8:50 PM","KUPF 104","Open","25","0","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14774",""
"202610","MNET414","INDUSTRIAL COST ANALYSIS","104","14775","R","6:00 PM - 8:50 PM","KUPF 108","Open","25","0","Zeiner, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14775",""
"202610","MNET414","INDUSTRIAL COST ANALYSIS","106","14776","F","6:00 PM - 8:50 PM","KUPF 207","Open","25","0","Dyer, ShaQueel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14776",""
"202610","MNET495","COOPERATIVE EXPERIEN II","360","14777","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14777","See department for permission to enroll."
