"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","MTEN101","INTRO TO MATERIALS ENG","002","14801","W","10:00 AM - 11:00 AM","TIER 109","Open","30","5","Guvendiren, Murat","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14801",""
"202610","MTEN201","INTRO PRINC OF MATERIAL ENGR","002","14802","TR","1:00 PM - 2:20 PM","KUPF 211","Open","60","53","Zhao, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14802",""
"202610","MTEN201","INTRO PRINC OF MATERIAL ENGR - HONORS","HM2","14803","TR","1:00 PM - 2:20 PM","KUPF 211","Open","10","9","Zhao, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14803","Honors Course"
"202610","MTEN205","MECH BEHAVIOR OF MATERIALS","002","14804","F","8:30 AM - 10:25 AM","TIER 109","Open","30","7","McEnnis, Kathleen","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14804",""
"202610","MTEN205","MECH BEHAVIOR OF MATERIALS","002","14804","M","1:00 PM - 3:50 PM","TIER 109","Open","30","7","McEnnis, Kathleen","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14804",""
"202610","MTEN311","KINETICS OF MATERIALS","002","14805","TR","2:30 PM - 3:50 PM","CKB 223","Open","25","1","Chintersingh, Kerri Lee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14805",""
"202610","MTEN311","KINETICS OF MATERIALS","HM2","14806","TR","2:30 PM - 3:50 PM","CKB 223","Open","5","2","Chintersingh, Kerri Lee","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14806",""
"202610","MTEN395","MATERIALS ENGR LAB","002","14807","M","11:30 AM - 12:30 PM","TIER 109","Open","30","1","Rodriguez, Nikki","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14807",""
"202610","MTEN395","MATERIALS ENGR LAB","002","14807","R","8:30 AM - 2:20 PM","TIER 109","Open","30","1","Rodriguez, Nikki","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14807",""
"202610","MTEN450","MATER. DESIGN II","002","14808","F","1:00 PM - 4:35 PM","TIER 109","Open","20","2","Guvendiren, Murat","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=14808",""
