"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","PHB701B","MASTER'S THESIS","080","15160","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15160","See department for permission to enroll."
"202610","PHB701B","MASTER'S THESIS","090","15161","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15161","See department for permission to enroll."
"202610","PHB701B","MASTER'S THESIS","111","15162","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15162","See department for permission to enroll."
"202610","PHB701B","MASTER'S THESIS","116","15163","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15163","See department for permission to enroll."
"202610","PHB701C","MASTER'S THESIS","080","15164","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15164","See department for permission to enroll."
"202610","PHB701C","MASTER'S THESIS","090","15165","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15165","See department for permission to enroll."
"202610","PHB701C","MASTER'S THESIS","111","15166","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15166","See department for permission to enroll."
"202610","PHB701C","MASTER'S THESIS","116","15167","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15167","See department for permission to enroll."
"202610","PHB725","INDEPENDENT STUDY I","080","15168","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15168","See department for permission to enroll."
"202610","PHB725","INDEPENDENT STUDY I","090","15169","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15169","See department for permission to enroll."
"202610","PHB725","INDEPENDENT STUDY I","111","15170","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15170","See department for permission to enroll."
"202610","PHB725","INDEPENDENT STUDY I","116","15171","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15171","See department for permission to enroll."
"202610","PHB726","INDEPENDENT STUDY II","080","15172","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15172","See department for permission to enroll."
"202610","PHB726","INDEPENDENT STUDY II","090","15173","","TBA"," ","Open","19","0","Bilgili, Ecevit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15173","See department for permission to enroll."
"202610","PHB726","INDEPENDENT STUDY II","111","15174","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15174","See department for permission to enroll."
"202610","PHB726","INDEPENDENT STUDY II","116","15175","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15175","See department for permission to enroll."
