"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","PHIL334","ENGINEERING ETHICS","002","15247","TR","1:00 PM - 2:20 PM","FMH 407","Open","32","0","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15247",""
"202610","PHIL334","ENGINEERING ETHICS","004","15248","TR","2:30 PM - 3:50 PM","FMH 407","Open","32","0","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15248",""
"202610","PHIL334","ENGINEERING ETHICS","006","15249","WF","10:00 AM - 11:20 AM","FMH 405","Open","32","0","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15249",""
"202610","PHIL334","ENGINEERING ETHICS","008","15250","WF","1:00 PM - 2:20 PM","FMH 407","Open","32","0","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15250",""
"202610","PHIL334","ENGINEERING ETHICS","010","15251","TR","10:00 AM - 11:20 AM","FMH 413","Open","32","0","Anis, Manail","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15251",""
"202610","PHIL334","ENGINEERING ETHICS","012","15252","TR","11:30 AM - 12:50 PM","FMH 413","Open","32","0","Anis, Manail","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15252",""
"202610","PHIL334","ENGINEERING ETHICS","014","15253","MW","11:30 AM - 12:50 PM","FMH 108","Open","32","0","Holbrook, Britt","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15253",""
"202610","PHIL334","ENGINEERING ETHICS","016","15254","TR","10:00 AM - 11:20 AM","FMH 404","Open","32","0","Goncalves Leonel da Silva, Renan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15254",""
"202610","PHIL334","ENGINEERING ETHICS","018","15255","WF","10:00 AM - 11:20 AM","FMH 108","Open","32","0","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15255",""
"202610","PHIL334","ENGINEERING ETHICS","020","15256","TR","2:30 PM - 3:50 PM","FMH 205","Open","32","0","Goncalves Leonel da Silva, Renan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15256",""
"202610","PHIL334","ENGINEERING ETHICS","022","15257","TR","4:00 PM - 5:20 PM","KUPF 204","Open","32","0","Goncalves Leonel da Silva, Renan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15257",""
"202610","PHIL334","ENGINEERING ETHICS","024","15258","MW","1:00 PM - 2:20 PM","FMH 412","Open","32","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15258",""
"202610","PHIL334","ENGINEERING ETHICS","102","15259","R","6:00 PM - 8:50 PM","FMH 407","Open","32","0","Heap, Peter","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15259",""
"202610","PHIL334","ENGINEERING ETHICS","104","15260","M","6:00 PM - 8:50 PM","FMH 108","Open","32","0","Randel, Ava","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15260",""
