"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","002","15570","F","8:30 AM - 11:20 AM","TIER 114","Closed","32","32","Lombana, Jessyka","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15570",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","004","15571","TF","2:30 PM - 3:50 PM","TIER 114","Open","32","31","Maret, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15571",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","006","15572","WF","10:00 AM - 11:20 AM","CKB 114","Closed","32","32","Cohen, Kaitlin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15572",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","008","15573","MW","10:00 AM - 11:20 AM","CKB 314","Closed","32","32","Lyons, Delina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15573",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","010","15574","MW","1:00 PM - 2:20 PM","CKB 314","Closed","32","32","Lyons, Delina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15574",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","012","15575","TR","8:30 AM - 9:50 AM","CKB 314","Closed","32","32","Dickerman, Laura Devorah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15575",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","014","15576","MR","1:00 PM - 2:20 PM","TIER 114","Closed","32","32","Anjum, Aruba","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15576",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","016","15577","TR","4:00 PM - 5:20 PM","CKB 114","Closed","32","33","De La Cruz, Nurys","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15577",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","018","15578","TR","11:30 AM - 12:50 PM","TIER 114","Closed","32","32","Dickerman, Laura Devorah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15578",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","020","15579","TR","10:00 AM - 11:20 AM","TIER 114","Closed","32","32","Conover, Kelly","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15579",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","022","15580","MW","11:30 AM - 12:50 PM","CKB 314","Closed","32","32","Lyons, Delina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15580",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","024","15581","MW","11:30 AM - 12:50 PM","TIER 114","Closed","32","32","Cohen, Kaitlin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15581",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","026","15582","MW","10:00 AM - 11:20 AM","TIER 114","Open","32","31","Laszlo, Jadwiga Victoria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15582",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","028","15583","MR","2:30 PM - 3:50 PM","TIER 114","Open","32","31","Dickerman, Laura Devorah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15583",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","030","15584","MW","8:30 AM - 9:50 AM","TIER 114","Closed","32","32","Laszlo, Jadwiga Victoria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15584",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","102","15585","T","6:00 PM - 8:50 PM","CKB 114","Closed","32","32","Oland, Brian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15585",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","104","15586","W","6:00 PM - 8:50 PM"," ","Cancelled","32","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15586","Cancelled 01/09/26"
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","106","15587","M","6:00 PM - 8:50 PM","TIER 114","Closed","32","32","Hall, Jill","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15587",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","108","15588","S","9:00 AM - 11:50 AM","CKB 114","Closed","32","32","Anjum, Aruba","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15588",""
"202610","PSY210","INTRODUCTION TO PSYCHOLOGY","110","15589","R","6:00 PM - 8:50 PM","CKB 114","Closed","32","32","Oland, Brian","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15589",""
"202610","PSY215","BIOLOGY OF BEHAVIOR","002","15590","MW","1:00 PM - 2:20 PM","FMH 110","Closed","38","38","Gresham, Abriana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15590",""
"202610","PSY307","SS RESEARCH METHODS II","002","15591","MW","11:30 AM - 12:50 PM","TIER 106","Open","30","25","Morgenstern, Leonore","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15591",""
"202610","PSY307A","SS RESEARCH METHODS II LAB","002","15592","R","10:45 AM - 12:40 PM","GITC 2305","Open","30","25","Morgenstern, Leonore","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15592",""
"202610","PSY325","ST: CHILD PSYCHOLOGY","006","15595","TR","11:30 AM - 12:50 PM","FMH 108","Closed","30","30","Conover, Kelly","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15595",""
"202610","PSY325","ST: COGNITIVE PSYCHOLOGY","102","15596","W","6:00 PM - 8:50 PM","FMH 310","Closed","30","30","Semizer, Yelda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15596",""
"202610","PSY325","ST: DIGITAL MEDIA PSYCHOLOGY","008","16363","TR","8:30 AM - 9:50 AM","CKB 120","Closed","25","25","Snyder, Eugene","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16363",""
"202610","PSY325","ST: FAMILY MATTERS: UNDERSTANDING HEALTHY RELATIONSHIPS","004","15594","TR","1:00 PM - 2:20 PM","FMH 412","Closed","30","30","Khichi, Neel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15594",""
"202610","PSY325","ST: SPORT PSYCHOLOGY","002","15593","WF","8:30 AM - 9:50 AM","TIER 112","Closed","30","31","Cohen, Kaitlin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15593",""
"202610","PSY333","PRINCIPLES OF PSYCHOMETRICS","002","15597","TR","4:00 PM - 5:20 PM","FMH 305","Open","30","17","Wolf, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15597",""
"202610","PSY361","FOUND OF CYBERPSYCHOLOGY II","002","15598","TR","4:00 PM - 5:20 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15598","Cancelled 11/03/25"
"202610","PSY389","PSYCHOPATHOLOGY","102","15599","T","6:00 PM - 8:50 PM","TIER 112","Open","24","23","Lombana, Jessyka","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15599",""
