"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","SDET101","FUND OF SOFT AND DATA","002","15605","MW","11:30 AM - 1:35 PM","FMH 412","Closed","30","35","Amboise, Wilex","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15605",""
"202610","SDET101","FUND OF SOFT AND DATA","102","15606","M","6:00 PM - 10:05 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15606","Cancelled 12/16/25"
"202610","SDET102","APP OF SOFT ENG TECH","102","15607","W","6:00 PM - 10:05 PM","CKB 212","Closed","30","30","Iaboni, Craig","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15607",""
"202610","SDET201","DATA ENGINEERING","102","15608","F","6:00 PM - 10:05 PM","TIER 105","Open","30","9","Perumalsamy, Anuradha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15608",""
"202610","SDET315","COMPUTER ARCHITECTURE","102","15609","R","6:00 PM - 10:05 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15609","Cancelled 12/05/25"
"202610","SDET325","MEDICAL INFORMATICS TECHNOLOGY","102","15610","R","6:00 PM - 8:50 PM","KUPF 203","Closed","30","30","Lubliner, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15610",""
"202610","SDET335","NETWORK APPLICATIONS I","102","15611","T","6:00 PM - 10:05 PM","KUPF 203","Closed","30","30","Vanderbilt, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15611",""
"202610","SDET345","NETWORK APPLICATIONS II","102","15612","R","6:00 PM - 10:05 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15612","Cancelled 11/17/25"
"202610","SDET373","WEB APP DEVELOPMENT FOR MOBILE","102","15613","W","6:00 PM - 10:05 PM","CKB 223","Closed","30","31","Nasello, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15613",""
"202610","SDET373","WEB APP DEVELOPMENT FOR MOBILE","104","16568","M","6:00 PM - 10:05 PM","CKB 314","Open","30","29","Nasello, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16568",""
"202610","SDET395","COOP WORK EXPERIENCE I","340","15614","","TBA"," ","Open","19","0","Abichandani, Pramod","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15614","See department for permission to enroll."
"202610","SDET401","SENIOR PROJECT","102","15615","W","6:00 PM - 10:05 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15615","Cancelled 12/09/25"
"202610","SDET430","SOFTWARE WEB APPLICATIONS II","102","15616","M","6:00 PM - 10:05 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15616","Cancelled 12/16/25"
"202610","SDET491","SPECIAL TOPICS","340","15617","","TBA"," ","Open","19","3","Abichandani, Pramod","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15617","See department for permission to enroll."
"202610","SDET492","SPECIAL TOPICS","340","15618","","TBA"," ","Open","19","0","Abichandani, Pramod","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15618","See department for permission to enroll."
"202610","SDET493","SPECIAL TOPICS","340","15619","","TBA"," ","Open","19","1","Abichandani, Pramod","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15619","See department for permission to enroll."
