"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","SET200","INTRODUCTION TO GEOMATICS","102","15620","M","6:00 PM - 7:20 PM","CKB 106","Closed","25","25","Potts, Laramie","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15620","Hybrid Course<br />See syllabus for in-person and remotely held meeting dates.<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","SET200A","INTRODUCTION TO GEOMATICS LAB","102","15621","S","9:00 AM - 2:50 PM","MALL PC39","Closed","25","25","Todosov, Angel","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15621","Hybrid Course<br />Meetings held alternate weeks starting 1/24/26"
"202610","SET207","EVIDENCE & PROC PROPRTY SURVY","102","15622","T","6:00 PM - 8:50 PM","CKB 106","Open","30","10","Todosov, Angel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15622",""
"202610","SET304","ADJUSTMENT COMPUTATIONS I","102","15623","F","6:00 PM - 8:50 PM","KUPF 105","Open","30","10","Potts, Laramie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15623",""
"202610","SET395","COOP EXPERIENCE I","359","15624","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15624","See department for permission to enroll."
"202610","SET407","BOUNDARY LINE ANALYSIS","102","15625","S","9:00 AM - 2:50 PM"," ","Cancelled","25","0","","Hybrid","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15625","Cancelled 12/05/25"
"202610","SET490","SENIOR PROJECT IN SURVEYING","102","15626","W","6:00 PM - 10:05 PM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15626","Cancelled 12/09/25"
"202610","SET491","SPECIAL PROJECTS IN SURVEYING","359","15627","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15627","See department for permission to enroll."
"202610","SET492","SPECIAL PROJECTS IN SURVEYING","359","15628","","TBA"," ","Open","19","0","Potts, Laramie","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15628","See department for permission to enroll."
"202610","SET493","SPECIAL PROJECTS IN SURVEYING","359","15629","","TBA"," ","Open","19","1","Potts, Laramie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15629","See department for permission to enroll."
