"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","STS201","UNDERSTANDING TECH SOCIETY","002","15632","MW","8:30 AM - 9:50 AM","CKB 223","Closed","35","35","Leli, Tyler","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15632",""
"202610","STS201","UNDERSTANDING TECH SOCIETY","004","15633","MR","2:30 PM - 3:50 PM","CKB 317","Closed","35","35","Leli, Tyler","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15633",""
"202610","STS205","INTRO TO RESEARCH METHODS","002","15634","TR","10:00 AM - 11:20 AM","FMH 405","Closed","25","25","Hunt, Theresa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15634",""
"202610","STS205","INTRO TO RESEARCH METHODS - HONORS","H02","15635","MR","10:00 AM - 11:20 AM","DHRH 210","Open","25","24","Tancredi-Brice Agbenyega, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15635","Honors Course"
"202610","STS221","INTRODUCTION TO SOCIOLOGY","004","15636","TF","2:30 PM - 3:50 PM","CKB 114","Closed","32","32","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15636",""
"202610","STS221","INTRODUCTION TO SOCIOLOGY","006","15637","TR","10:00 AM - 11:20 AM","CKB 314","Closed","32","32","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15637",""
"202610","STS221","INTRODUCTION TO SOCIOLOGY","102","15638","W","6:00 PM - 8:50 PM","CKB 114","Closed","32","32","Manley, Lauren","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15638",""
"202610","STS221","INTRODUCTION TO SOCIOLOGY - HONORS","H02","15639","TF","8:30 AM - 9:50 AM"," ","Cancelled","32","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15639","Cancelled 01/07/26"
"202610","STS325","ST: FROM TAIPEI TO TOKYO- K-POP AND EAST ASIAN CULTURE","008","15643","MW","8:30 AM - 9:50 AM","CKB 314","Open","30","28","Shih, Chia-Ying","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15643",""
"202610","STS325","ST: FROM TAIPEI TO TOKYO- K-POP AND EAST ASIAN CULTURE","010","15644","TR","8:30 AM - 9:50 AM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15644","Cancelled 01/07/26"
"202610","STS325","ST: MIDDLE EAST CONFLICTS: STATE BUILDING, REGIONAL TENSIONS, PEACE PROCESSES","006","15642","TR","11:30 AM - 12:50 PM","FMH 307","Open","30","14","Shultziner, Doron","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15642",""
"202610","STS325","ST: MUSIC & THE AMERICAN EXPERIENCE","004","15641","TR","2:30 PM - 3:50 PM"," ","Cancelled","30","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15641","Cancelled 01/07/26"
"202610","STS325","ST: RESPONSIBLE AI","002","15640","TR","1:00 PM - 2:20 PM","FMH 413","Closed","30","30","Anis, Manail","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15640",""
"202610","STS352","RACE AND ETHNICITY","102","15646","M","6:00 PM - 8:50 PM","KUPF 204","Closed","35","35","Dickerman, Laura Devorah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15646",""
"202610","STS360","ETHICS AND THE ENVIRONMENT","002","15647","TF","1:00 PM - 2:20 PM","TIER 114","Closed","30","30","See, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15647",""
