"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","THTR202","ACTING FUNDAMENTALS","MVT","16558","","TBA"," ","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16558","For Middlesex County Vocational Technical School"
"202610","THTR212","PLAY ANALYSIS","002","15656","MW","10:00 AM - 11:20 AM","KUPF 110","Closed","24","24","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15656",""
"202610","THTR216","IMPROVISATIONAL THTR-SHORTFORM","002","15657","TR","1:00 PM - 2:20 PM","KUPF 110","Closed","25","25","Kornfeld, Louis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15657",""
"202610","THTR253","PROPS, PUPPETRY, PROJECTION","002","15658","TR","11:30 AM - 12:50 PM","KUPF 110","Open","25","18","Cyr, Stephen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15658",""
"202610","THTR256","THEATRICAL SET DESIGN","002","15659","TR","10:00 AM - 11:20 AM"," ","Cancelled","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15659","Cancelled 10/29/25"
"202610","THTR259","STAGECRAFT II","102","15661","M","6:00 PM - 8:50 PM","KUPF 129","Open","25","12","Zencheck, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15661",""
"202610","THTR259","STAGECRAFT II","104","15660","R","6:00 PM - 8:50 PM","KUPF 129","Open","25","7","Zencheck, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15660",""
"202610","THTR281","STORIES, US, AND EVERYTHING","002","15662","TR","2:30 PM - 3:50 PM","KUPF 110","Open","25","17","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15662",""
"202610","THTR310","THEATRE HISTORY I","002","15663","MW","1:00 PM - 2:20 PM","KUPF 110","Open","24","23","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15663",""
"202610","THTR365","PRINCIPLES OF PLAYWRITING","002","15664","TR","10:00 AM - 11:20 AM","KUPF 110","Open","24","12","Lobontiu, Diana","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15664",""
"202610","THTR396","INTERNSHIP-THEATER","661","15665","","TBA"," ","Open","19","0","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15665","See department for permission to enroll."
"202610","THTR483","INDEPENDENT STUDY IN THEATER I","661","15666","","TBA"," ","Open","19","1","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15666","See department for permission to enroll."
