"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202610","TRAN625","PUB TRAN OPERATNS & TECH","852","15667","","TBA"," ","Open","30","14","Besenski, Dejan","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15667","Restricted to Virtual Campus Students Only<br />Online Course - No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","TRAN700B","MASTER'S PROJECT","202","15668","","TBA"," ","Open","19","0","Lee, Joyoung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15668","See department for permission to enroll."
"202610","TRAN700B","MASTER'S PROJECT","203","15669","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15669","See department for permission to enroll."
"202610","TRAN700B","MASTER'S PROJECT","206","15670","","TBA"," ","Open","19","0","Bai, Yun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15670","See department for permission to enroll."
"202610","TRAN700B","MASTER'S PROJECT","211","15671","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15671","See department for permission to enroll."
"202610","TRAN700B","MASTER'S PROJECT","213","15672","","TBA"," ","Open","19","0","Chien, I Jy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15672","See department for permission to enroll."
"202610","TRAN700B","MASTER'S PROJECT","216","15673","","TBA"," ","Open","19","0","Daniel, Janice","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15673","See department for permission to enroll."
"202610","TRAN700B","MASTER'S PROJECT","882","15674","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15674","See department for permission to enroll."
"202610","TRAN701B","MASTER'S THESIS","202","15675","","TBA"," ","Open","19","0","Lee, Joyoung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15675","See department for permission to enroll."
"202610","TRAN701B","MASTER'S THESIS","203","15676","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15676","See department for permission to enroll."
"202610","TRAN701B","MASTER'S THESIS","206","15677","","TBA"," ","Open","19","0","Bai, Yun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15677","See department for permission to enroll."
"202610","TRAN701B","MASTER'S THESIS","211","15678","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15678","See department for permission to enroll."
"202610","TRAN701B","MASTER'S THESIS","213","15679","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15679","See department for permission to enroll."
"202610","TRAN701B","MASTER'S THESIS","216","15680","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15680","See department for permission to enroll."
"202610","TRAN701B","MASTER'S THESIS","882","15681","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15681","See department for permission to enroll."
"202610","TRAN701C","MASTER'S THESIS","202","15682","","TBA"," ","Open","19","0","Lee, Joyoung","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15682","See department for permission to enroll."
"202610","TRAN701C","MASTER'S THESIS","203","15683","","TBA"," ","Open","19","0","Dimitrijevic, Branislav","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15683","See department for permission to enroll."
"202610","TRAN701C","MASTER'S THESIS","206","15684","","TBA"," ","Open","19","0","Bai, Yun","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15684","See department for permission to enroll."
"202610","TRAN701C","MASTER'S THESIS","211","15685","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15685","See department for permission to enroll."
"202610","TRAN701C","MASTER'S THESIS","213","15686","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15686","See department for permission to enroll."
"202610","TRAN701C","MASTER'S THESIS","216","15687","","TBA"," ","Open","19","0","Daniel, Janice","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15687","See department for permission to enroll."
"202610","TRAN701C","MASTER'S THESIS","882","15688","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15688","See department for permission to enroll."
"202610","TRAN725","INDEPENDENT STUDY","202","15689","","TBA"," ","Open","19","0","Lee, Joyoung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15689","See department for permission to enroll."
"202610","TRAN725","INDEPENDENT STUDY","203","15690","","TBA"," ","Open","19","3","Dimitrijevic, Branislav","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15690","See department for permission to enroll."
"202610","TRAN725","INDEPENDENT STUDY","206","15691","","TBA"," ","Open","19","1","Bai, Yun","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15691","See department for permission to enroll."
"202610","TRAN725","INDEPENDENT STUDY","211","15692","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15692","See department for permission to enroll."
"202610","TRAN725","INDEPENDENT STUDY","213","15693","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15693","See department for permission to enroll."
"202610","TRAN725","INDEPENDENT STUDY","216","15694","","TBA"," ","Open","19","0","Daniel, Janice","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15694","See department for permission to enroll."
"202610","TRAN725","INDEPENDENT STUDY","850","16483","","TBA"," ","Open","19","0","Marhaba, Taha","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=16483","See department for permission to enroll.<br />Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","TRAN725","INDEPENDENT STUDY","882","15695","","TBA"," ","Open","19","0","Spasovic, Lazar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15695","See department for permission to enroll."
"202610","TRAN752","TRAFFIC CONTROL","852","15696","","TBA"," ","Open","30","20","Daniel, Janice","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15696","Restricted to Virtual Campus Students Only<br />Online Course - No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202610","TRAN755","INTELLIGENT TRANS SYSTEM","102","15697","W","6:00 PM - 8:50 PM","FMH 307","Open","25","7","Lee, Joyoung","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15697",""
"202610","TRAN765","MULTI-MOD FREIGHT TRANS","852","15698","","TBA"," ","Cancelled","20","0","","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Spring&crn-1=15698","Cancelled 01/16/26"
