"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","AD111","COMM IN ART+ DES - TRAD MEDIA","011","54733","TR","1:00 PM - 4:00 PM","CAMP 236G","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54733","First Summer Session (05/26/2026- 06/29/2026)"
"202650","AD111","COMM IN ART+ DES - TRAD MEDIA","011","54733","TR","9:00 AM - 12:00 PM","CAMP 236G","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54733","First Summer Session (05/26/2026- 06/29/2026)"
"202650","AD112","COMM IN ART & DES-DIGTL MEDIA","021","53806","TR","1:00 PM - 4:00 PM","CAMP 236G","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53806","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","AD112","COMM IN ART & DES-DIGTL MEDIA","021","53806","TR","9:00 AM - 12:00 PM","CAMP 236G","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53806","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","AD150","COLOR AND COMPOSITION","021","53843","MW","1:00 PM - 4:00 PM","CKB 106","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53843","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","AD150","COLOR AND COMPOSITION","021","53843","MW","9:00 AM - 12:00 PM","CKB 106","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53843","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","AD161","HISTORY OF ART AND DESIGN I","011","53432","MWF","1:00 PM - 3:50 PM","CKB 106","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53432","First Summer Session (05/26/2026- 06/29/2026)"
"202650","AD162","HISTORY OF ART AND DESIGN II","021","53832","MWF","1:00 PM - 3:50 PM","CKB 114","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53832","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","AD490","ST: ITALY STUDY ABROAD FOR INTERIOR DESIGN","011","53740","MTWRF","10:00 AM - 2:30 PM"," ","Cancelled","7","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53740","Cancelled (03/25/26)"
"202650","AD491","INDEPENDENT STUDY","011","53142","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53142","First Summer Session<br />See department for permission to enroll."
"202650","AD491","INDEPENDENT STUDY","021","53649","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53649","Full Summer Session<br />See department for permission to enroll."
"202650","AD493","INDEPENDENT STUDY","021","53049","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53049","Second Summer Session<br />See department for permission to enroll."
