"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","ARCH110","TOOLS AND TECHNIQUES I","011","53769","MWR","1:00 PM - 3:50 PM","WEST 310","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53769","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ARCH156","TOOLS AND TECHNIQUES II","121","54680","MWR","6:00 PM - 8:50 PM","WEST 350","Open","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54680","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ARCH195","ARCHITECTURE STUDIO I","031","54647","MR","1:00 PM - 4:30 PM"," ","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54647","Full Summer Session (05/26/2026- 08/10/2026)"
"202650","ARCH195","ARCHITECTURE STUDIO I","031","54647","MR","9:00 AM - 12:00 PM"," ","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54647","Full Summer Session (05/26/2026- 08/10/2026)"
"202650","ARCH196","ARCHITECTURE STUDIO II","031","54646","MR","1:00 PM - 4:30 PM"," ","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54646","Full Summer Session (05/26/2026- 08/10/2026)"
"202650","ARCH196","ARCHITECTURE STUDIO II","031","54646","MR","9:00 AM - 12:00 PM"," ","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54646","Full Summer Session (05/26/2026- 08/10/2026)"
"202650","ARCH210","HISTORY OF ARCHITECTURE I","450","53533","","TBA"," ","Open","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53533","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 06/29/2026)"
"202650","ARCH211","HISTORY OF ARCHITECTURE II","450","53495","","TBA"," ","Open","30","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53495","Online Course- No required meeting times<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ARCH223","CONSTRUCTION I","011","54627","MWR","1:00 PM - 3:50 PM","WEST 350","Open","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54627","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ARCH224","CONSTRUCTION II","021","54628","MWR","1:00 PM - 3:50 PM","WEST 350","Open","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54628","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ARCH295","ARCHITECTURE STUDIO III","031","53534","MR","1:00 PM - 4:30 PM"," ","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53534","Full Summer Session (05/26/2026- 08/10/2026)"
"202650","ARCH295","ARCHITECTURE STUDIO III","031","53534","MR","9:00 AM - 12:00 PM"," ","Open","5","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53534","Full Summer Session (05/26/2026- 08/10/2026)"
