"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","BIOL200","CONCEPTS IN BIOLOGY","011","52779","MTWR","9:00 AM - 12:00 PM","CKB 222","Open","24","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52779","First Summer Session (05/26/2026- 06/29/2026)"
"202650","BIOL205","FOUND OF BIO:ECOL & EVOL I","021","52851","MTR","9:00 AM - 11:50 AM","CKB 222","Open","24","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52851","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","BIOL206","FOUND OF BIO:ECOL & EVOL LAB","021","52854","MTR","1:00 PM - 3:50 PM","CKB 328","Open","24","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52854","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","BIOL310","WORK EXPERIENCE I","745","52442","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52442","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL310","WORK EXPERIENCE I","864","54672","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54672","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL315","PRINCIPLES OF NEUROBIOLOGY","041","53814","TR","1:00 PM - 3:50 PM","CKB 222","Open","24","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53814","Middle Summer Session (05/26/2026- 07/20/2026)"
"202650","BIOL340","MAMMALIAN PHYSIOLOGY","021","52903","MTWR","1:00 PM - 2:30 PM","CKB 314","Open","24","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52903","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","BIOL340","MAMMALIAN PHYSIOLOGY","021","52903","MTWR","9:00 AM - 12:00 PM","CKB 302","Open","24","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52903","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","BIOL375","CONSERVATION BIOLOGY","450","53446","","TBA"," ","Open","20","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53446","Online Course- No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery<br />Middle Summer Session (05/26/2026- 07/20/2026)"
"202650","BIOL410","WORK EXPERIENCE II","864","54671","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54671","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL484","EVOL OF ANIMAL BEHAVIOR LAB","021","53435","TR","8:00 AM - 5:00 PM","CKB 316","Open","9","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53435","Second Summer Session (07/08/25-08/11/25)"
"202650","BIOL491","SENIOR PROJECT","147","52626","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52626","Middle Summer Session<br />See department for permission to enroll."
"202650","BIOL491","SENIOR PROJECT","156","52443","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52443","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL491","SENIOR PROJECT","157","52444","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52444","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL491","SENIOR PROJECT","756","52975","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52975","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","072","52445","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52445","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","147","52446","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52446","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","151","52972","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52972","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","156","52447","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52447","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","157","52448","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52448","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","745","52449","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52449","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","747","52450","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52450","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","762","52451","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52451","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL492","RESEARCH & INDEPENDENT STUDY","813","52925","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52925","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL590","GRAD COOP WORK EXPERIENCE I","595","53112","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53112","Full Summer Session<br />Students must contact the COOP Office.<br />See department for permission to enroll."
"202650","BIOL593","GRADUATE CO-OP WORK EXP IV","745","52928","","TBA"," ","Open","19","0","","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52928","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","130","52453","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52453","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","136","52454","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52454","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","147","52455","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52455","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","544","52456","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52456","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","567","52457","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52457","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","595","52458","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52458","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","618","52459","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52459","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","745","52931","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52931","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","747","52880","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52880","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","756","52805","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52805","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","815","53026","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53026","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL700B","MASTER'S PROJECT","862","54677","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54677","See department for permission to enroll."
"202650","BIOL701B","MASTER'S THESIS","544","52460","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52460","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL701B","MASTER'S THESIS","595","52461","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52461","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL701B","MASTER'S THESIS","762","52910","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52910","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL701B","MASTER'S THESIS","812","52792","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52792","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL701B","MASTER'S THESIS","817","53019","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53019","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL701B","MASTER'S THESIS","832","53027","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53027","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL701C","MASTER'S THESIS","147","53113","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53113","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL701C","MASTER'S THESIS","544","53114","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53114","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL701C","MASTER'S THESIS","595","53115","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53115","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL725","INDEPENDENT STUDY I","147","52452","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52452","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL790A","DOCT DISSERTATION & RESRCH","731","52909","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52909","Second Summer Session<br />See department for permission to enroll."
"202650","BIOL790A","DOCT DISSERTATION & RESRCH","745","52950","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52950","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL790A","DOCT DISSERTATION & RESRCH","747","52870","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52870","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL790A","DOCT DISSERTATION & RESRCH","813","53371","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53371","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL790A","DOCT DISSERTATION & RESRCH","815","53476","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53476","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL790A","DOCT DISSERTATION & RESRCH","832","53372","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53372","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL790B","DOCT DISSERTATION & RESRCH","595","52462","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52462","Full Summer Session<br />See department for permission to enroll."
"202650","BIOL792B","PRE-DOCTORAL RESEARCH","745","52749","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52749","Full Summer Session<br />See department for permission to enroll."
