"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","BME301","INTRO BIOMEDICAL ENGINEERING I","021","53477","MWR","1:00 PM - 2:00 PM","FENS 640","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53477","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","BME301","INTRO BIOMEDICAL ENGINEERING I","021","53477","MWR","9:00 AM - 12:00 PM","FENS 640","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53477","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","BME302","INTRO BIOMED ENGR II","111","53072","MTWR","6:00 PM - 8:50 PM","FENS 636","Open","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53072","First Summer Session (05/26/2026- 06/29/2026)"
"202650","BME382","ENGINEERING PHYSIOLOGY II","011","53732","MTW","9:00 AM - 11:50 AM"," ","Open","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53732","First Summer Session (05/26/2026- 06/29/2026)"
"202650","BME383","MEASUREMNT LAB FOR PHYSIO SYS","011","53840","MTWR","1:00 PM - 4:00 PM"," ","Open","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53840","First Summer Session (05/26/2026- 06/29/2026)"
"202650","BME385","CELL & BIOMATERIAL ENGR LAB","111","53373","MTWR","6:00 PM - 9:00 PM"," ","Open","12","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53373","First Summer Session (05/26/2026- 06/29/2026)"
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","031","52721","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52721","Full Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","061","52943","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52943","Second Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","065","53790","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53790","Second Summer Session<br />See department for permission to enroll"
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","071","53155","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53155","Full Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","072","52463","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52463","Full Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","074","52464","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52464","Full Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","076","52465","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52465","Second Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","077","52640","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52640","Full Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","079","52980","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52980","Full Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","113","52809","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52809","Full Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","120","52746","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52746","Full Summer Session<br />See department for permission to enroll."
"202650","BME491","RESEARCH & INDEPENDENT STUDY I","273","52874","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52874","Full Summer Session<br />See department for permission to enroll."
