"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","CS100","ROADMAP TO COMPUTING","011","52878","MTR","9:00 AM - 11:50 AM"," ","Open","43","0","Nemane, Nikita","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52878","First Summer Session (05/26/2026- 06/29/2026)"
"202650","CS100","ROADMAP TO COMPUTING","021","53443","MTR","9:00 AM - 11:50 AM"," ","Open","43","0","Bhavsar, Jaini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53443","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","CS101","COMP PROG & PROB SOLVING","121","53633","MWR","6:00 PM - 8:50 PM"," ","Open","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53633","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","CS104","COMPUT PROG & GRAPH PROB","021","53590","MWR","1:00 PM - 3:50 PM"," ","Open","43","0","Eljabiri, Osama","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53590","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","CS106","INTRO TO COMPUTING","450","53735","","TBA"," ","Open","30","0","Spirollari, Junilda","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53735","Restricted to Online Accelerated Degree Completion Students<br />Online Course- No required meeting times<br />First Summer Session (05/26/2026- 07/20/2026)"
"202650","CS113","INTRO COMPUTER SCI I","011","54614","MWR","9:00 AM - 11:50 AM"," ","Open","43","0","Spirollari, Junilda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54614","First Summer Session (05/26/2026- 06/29/2026)"
"202650","CS113","INTRO COMPUTER SCI I","021","53468","MWR","1:00 PM - 3:50 PM"," ","Open","43","0","Pethkar, Kaustubh Vijaykumar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53468","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","CS114","INTRO TO COMPUTER SCIENCE II","011","53723","MTR","9:00 AM - 11:50 AM"," ","Open","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53723","First Summer Session (05/26/2026- 06/29/2026)"
"202650","CS114","INTRO TO COMPUTER SCIENCE II","021","53585","MWR","9:00 AM - 11:50 AM"," ","Open","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53585","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","CS241","FOUNDATIONS OF COMP SCIENCE I","011","54635","MTR","1:00 PM - 3:50 PM","CKB 310","Open","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54635","First Summer Session (05/26/2026- 06/29/2026)"
"202650","CS280","PROGRAMMING LANG CONCEPTS","011","53586","MWR","1:00 PM - 3:50 PM"," ","Open","43","0","Kapleau, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53586","First Summer Session (05/26/2026- 06/29/2026)"
"202650","CS280","PROGRAMMING LANG CONCEPTS","021","53587","MWR","1:00 PM - 3:50 PM"," ","Open","43","0","Kapleau, Jonathan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53587","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","CS288","INTENSIVE PROGRAMMING IN LINUX","031","53595","MW","1:00 PM - 3:00 PM"," ","Open","60","0","Dale, Mohit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53595","Full Summer Session (05/26/2026- 08/10/2026)"
"202650","CS301","INTRODUCTION TO DATA SCIENCE","011","53605","MTR","9:00 AM - 11:50 AM"," ","Open","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53605","First Summer Session (05/26/2026- 06/29/2026)"
"202650","CS332","PRINCIPLES OF OPER SYS","041","53808","MW","9:00 AM - 11:50 AM"," ","Open","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53808","Middle Summer Session (05/26/2026- 07/20/2026)"
"202650","CS341","FOUND OF COMPUTER SCIENCE II","011","54602","MTR","1:00 PM - 3:50 PM"," ","Open","43","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54602","First Summer Session (05/26/2026- 06/29/2026)"
"202650","CS350","INTRO TO COMPUTER SYSTEMS","021","53444","MWR","1:00 PM - 3:50 PM"," ","Open","43","0","Itani, Abdul-Rahman","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53444","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","CS351","INTRODUCTION TO CYBERSECURITY","011","53609","MTW","1:00 PM - 3:50 PM","CKB 314","Open","43","0","Hamidli, Fuad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53609","First Summer Session (05/26/2026- 06/29/2026)"
"202650","CS356","INTRO TO COMPUTER NETWORKS","041","53809","TR","1:00 PM - 3:50 PM"," ","Open","43","0","Raza, Asad","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53809","Middle Summer Session (05/26/2026- 07/20/2026)"
