"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","ECET303","CIRCUIT MEASUREMENTS I","141","53264","TR","6:00 PM - 8:30 PM"," ","Open","21","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53264","Middle Summer Session (05/26/2026- 07/20/2026)"
"202650","ECET303","CIRCUIT MEASUREMENTS I","141","53264","TR","8:35 PM - 10:00 PM","FMH 204A","Open","21","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53264","Middle Summer Session (05/26/2026- 07/20/2026)"
"202650","ECET311","EMBEDDED SYSTEMS I","141","54732","TR","6:00 PM - 9:50 PM"," ","Open","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54732","Middle Summer Session (05/26/2026- 07/20/2026)"
"202650","ECET329","ANALOG DIGITAL ELECT NON MAJ","141","53415","MW","6:00 PM - 8:30 PM"," ","Open","21","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53415","Department Permission Required<br />Middle Summer Session (05/26/2026- 07/20/2026)"
"202650","ECET329","ANALOG DIGITAL ELECT NON MAJ","141","53415","MW","8:35 PM - 10:00 PM","FMH 204A","Open","21","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53415","Department Permission Required<br />Middle Summer Session (05/26/2026- 07/20/2026)"
"202650","ECET395","ECET WORK EXPERIENCE I","347","54685","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54685","Full Summer Session<br />See department for permission to enroll."
"202650","ECET491","SPECIAL PROJECTS","347","52872","","TBA"," ","Open","19","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52872","Full Summer Session<br />See department for permission to enroll."
"202650","ECET492","SPECIAL PROJECTS","347","52873","","TBA"," ","Open","19","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52873","Full Summer Session<br />See department for permission to enroll."
"202650","ECET493","SPECIAL PROJECTS","340","53088","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53088","Full Summer Session<br />See department for permission to enroll."
"202650","ECET493","SPECIAL PROJECTS","353","52868","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52868","Full Summer Session<br />See department for permission to enroll."
