"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","HIST213","THE TWENTIETH-CENTURY WORLD","021","54716","MWR","4:00 PM - 6:50 PM"," ","Open","20","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54716","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HIST213","THE TWENTIETH-CENTURY WORLD","450","52565","","TBA"," ","Open","20","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52565","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 07/20/2026)"
"202650","HIST213","THE TWENTIETH-CENTURY WORLD","451","52712","","TBA"," ","Open","20","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52712","Online Course- No required meeting times<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HIST213","THE TWENTIETH-CENTURY WORLD","452","53819","","TBA"," ","Open","20","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53819","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 07/20/2026)"
"202650","HIST310","COOP IN LTC AND HISTORY I","011","54617","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54617","Full Summer Session<br />See department for permission to enroll<br />LTC Majors Only"
"202650","HIST320","LAW AND EVIDENCE","011","53820","MWR","9:00 AM - 11:50 AM"," ","Open","20","0","","Synchronous Online","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53820","Synchronous Online Course<br />https://www.njit.edu/registrar/instructionaldelivery/<br />First Summer Session (05/26/2026- 07/20/2026)"
"202650","HIST345","COMMUNICATION THROUGH THE AGES","011","54715","MTW","1:00 PM - 3:50 PM"," ","Open","20","0","","Synchronous Online","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54715","Synchronous Online Course<br />https://www.njit.edu/registrar/instructionaldelivery/<br />First Summer Session (05/26/2026- 07/20/2026)"
"202650","HIST363","U.S. AS A WORLD POWER","450","53823","","TBA"," ","Open","20","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53823","Online Course- No required meeting times<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HIST390","HISTL PROB THROUGH FILM","450","52940","","TBA"," ","Open","20","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52940","Online Course- No required meeting times<br />Topic: World War I on Film<br />First Summer Session (05/26/2026- 06/29/2026)"
"202650","HIST401","INDEPENDENT STUDY","011","53107","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53107","FIRST SUMMER SESSION<br />See department for permission to enroll."
"202650","HIST401","INDEPENDENT STUDY","021","53108","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53108","SECOND SUMMER SESSION<br />See department for permission to enroll."
"202650","HIST401","INDEPENDENT STUDY","031","53106","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53106","Full Summer Session.<br />See department for permission to enroll."
"202650","HIST402","INDEPENDENT STUDY","011","53110","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53110","FIRST SUMMER SESSION<br />See department for permission to enroll."
"202650","HIST402","INDEPENDENT STUDY","021","53109","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53109","SECOND SUMMER SESSION<br />See department for permission to enroll."
"202650","HIST402","INDEPENDENT STUDY","031","53111","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53111","FULL SUMMER SESSION<br />See department for permission to enroll."
