"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","HSS404","ENG SEM: FILM, ART AND ADAPTATION: FIDELITY OR CREATIVITY","458","53510","","TBA"," ","Open","20","0","Chen, Kim","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53510","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 06/29/2026)"
"202650","HSS404","ENG SEM: FILM, ART AND ADAPTATION: FIDELITY OR CREATIVITY","463","53513","","TBA"," ","Open","20","0","Chen, Kim","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53513","Online Course- No required meeting times<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HSS404","ENG SEM: MEMES: RHETORIC, GENRES, APPLICATIONS","461","53511","","TBA"," ","Open","20","0","Deane, Johanna","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53511","Online Course- No required meeting times<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HSS404","HISTORY SEMINAR: 20TH-CENTURY INTERNATIONAL LAW AND THE AMERICAN SUPERPOWER","011","53825","MTW","9:00 AM - 11:50 AM"," ","Open","20","0","Kostopoulou, Ilektra","Synchronous Online","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53825","Synchronous Online Course<br />https://www.njit.edu/registrar/instructionaldelivery/<br />First Summer Session (05/26/2026- 07/20/2026)"
"202650","HSS404","HISTORY SEMINAR: 20TH-CENTURY INTERNATIONAL LAW AND THE AMERICAN SUPERPOWER","021","53826","MTW","9:00 AM - 11:50 AM"," ","Open","20","0","Kostopoulou, Ilektra","Synchronous Online","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53826","Synchronous Online Course<br />https://www.njit.edu/registrar/instructionaldelivery/<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HSS404","LIT SEM: CLIMATE CHANGE IN FICTION","455","53507","","TBA"," ","Open","20","0","Siemann, Catherine","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53507","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 06/29/2026)"
"202650","HSS404","LIT SEM: CLIMATE CHANGE IN FICTION","470","53827","","TBA"," ","Open","20","0","Siemann, Catherine","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53827","Online Course- No required meeting times<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HSS404","LIT SEM: GHOST IN THE MACHINE: AI POETRY","476","54705","","TBA"," ","Open","20","0","Funkhouser, Christopher","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54705","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 06/29/2026)"
"202650","HSS404","LIT SEM: GHOST IN THE MACHINE: AI POETRY","477","54706","","TBA"," ","Open","20","0","Funkhouser, Christopher","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54706","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 06/29/2026)"
"202650","HSS404","LIT SEM: NEWARK NARRATIVES","456","53508","","TBA"," ","Open","20","0","Curley, Jonathan","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53508","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 06/29/2026)"
"202650","HSS404","LIT SEM: NEWARK NARRATIVES","457","53509","","TBA"," ","Open","20","0","Curley, Jonathan","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53509","Online Course- No required meeting times<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HSS404","LIT SEM: NEWARK NARRATIVES","474","54703","","TBA"," ","Open","20","0","Curley, Jonathan","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54703","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 06/29/2026)"
"202650","HSS404","LIT SEM: NEWARK NARRATIVES","475","54704","","TBA"," ","Open","20","0","Curley, Jonathan","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54704","Online Course- No required meeting times<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","HSS404","LIT SEM: THE WONDERS OF WORLD CINEMA","464","53514","","TBA"," ","Open","20","0","Chen, Kim","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53514","Online Course- No required meeting times<br />First Summer Session (05/26/2026- 06/29/2026)"
