"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","ME215","ENGR MATERLS & PROCESSES","011","52574","MWR","10:15 AM - 12:55 PM","ME 232","Open","20","0","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52574","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME215","ENGR MATERLS & PROCESSES","011","52574","MWR","9:00 AM - 10:10 AM","ME 221","Open","20","0","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52574","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME231","KINEMATICS OF MACHINERY","011","52575","MWR","1:00 PM - 3:50 PM"," ","Open","35","0","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52575","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME304","FLUID MECHANICS","011","52576","MWR","1:00 PM - 3:50 PM"," ","Open","35","0","Rao, I.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52576","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME305","INTRO TO SYSTEM DYNAMICS","111","52662","MWR","6:00 PM - 8:50 PM","KUPF 207","Open","35","0","Reddy, Trivikrama","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52662","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME311","THERMODYNAMICS I","011","52902","MWR","9:00 AM - 11:50 AM"," ","Open","35","0","Rao, I.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52902","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME312","THERMODYNAMICS II","121","52650","MWR","6:00 PM - 8:50 PM"," ","Open","35","0","Ali, Abul","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52650","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ME315","STRESS ANALYSIS","011","52577","MWR","1:00 PM - 3:50 PM"," ","Open","35","0","Russell, Kevin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52577","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME316","MACHINE DESIGN","021","53080","MWR","9:00 AM - 11:50 AM"," ","Open","35","0","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53080","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ME343","MECHANICAL LABORATORY I","011","52633","MWR","9:00 AM - 12:55 PM","ME 214","Open","20","0","Mani, Balraj","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52633","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME403","MECHANICAL SYSTEMS DESIGN I","011","52578","MWR","1:00 PM - 3:50 PM"," ","Open","35","0","Mu, Xiaoming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52578","First Summer Session (05/26/2026- 06/29/2026)"
"202650","ME405","MECHANICAL LABORATORY II","021","53830","MWR","9:00 AM - 11:50 AM","ME 110","Open","20","0","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53830","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ME406","MECHANICAL LABORATORY III","121","53785","MWR","6:00 PM - 8:50 PM","ME 110","Open","20","0","Moon, Swapnil","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53785","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ME407","HEAT TRANSFER","021","52861","MWR","1:00 PM - 3:50 PM"," ","Open","35","0","Samardzic, Veljko","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52861","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ME408","MECHANICAL SYSTEMS DESIGN II","021","52580","MWR","1:00 PM - 3:50 PM","ME 224","Open","25","0","Russell, Kevin","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52580","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ME408","MECHANICAL SYSTEMS DESIGN II- HONORS","HM2","52821","MWR","1:00 PM - 3:50 PM","ME 224","Open","10","0","Russell, Kevin","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52821","Honors Course<br />Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ME430","INTRO COMPUTER AIDED DES","021","54721","MWR","1:00 PM - 3:50 PM","ME 219","Open","30","0","Moon, Swapnil","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=54721","Second Summer Session (07/07/2026- 08/10/2026)"
"202650","ME490","MECH ENGR PROJECT A","444","53608","","TBA"," ","Open","19","0","Lee, Eon Soo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53608","Full Summer Session<br />See department for permission to enroll."
"202650","ME490","MECH ENGR PROJECT A","457","52908","","TBA"," ","Open","19","0","Ji, Zhiming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52908","Second Summer Session<br />See department for permission to enroll."
"202650","ME490","MECH ENGR PROJECT A","470","53025","","TBA"," ","Open","19","0","Sodhi, Rajpal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53025","Full Summer Session<br />See department for permission to enroll."
"202650","ME490","MECH ENGR PROJECT A","482","52933","","TBA"," ","Open","19","0","Singh, Pushpendra","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52933","Full Summer Session<br />See department for permission to enroll."
"202650","ME590","GRAD CO-OP WORK EXPERIENCE I","400","52811","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52811","Full Summer Session<br />See department for permission to enroll."
"202650","ME591","GRAD CO-OP WORK EXPERIENCE II","400","53674","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53674","See department for permission to enroll."
"202650","ME593","GRADUATE CO-OP WORK EXP IV","400","52818","","TBA"," ","Open","19","0","Abdou, George","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52818","Full Summer Session<br />See department for permission to enroll."
