"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202650","R010202","INTRO TO ACCOUNTING II","999","52888","","","","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52888",""
"202650","R010203","INTRO FINANCIAL ACCOUNT","999","52889","","","","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52889",""
"202650","R010304","COST AND QUAL MANAGEMENT","999","53259","","","","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53259",""
"202650","R010305","INTERMEDIATE ACCOUNTING","999","53706","","","","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53706",""
"202650","R010306","INTERMED ACCOUNTING II","999","52828","","","","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52828",""
"202650","R010320","BUSINESS LAW II","999","52890","","","","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52890",""
"202650","R010372","ESSENT STATEMENT ANLY","999","52832","","","","Open","1","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52832",""
"202650","R010413","FEDERAL TAX I","999","52934","","","","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52934",""
"202650","R010415","AUDITING","999","53502","","TBA"," ","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=53502",""
"202650","R010657","TPC:TAX ACCTG","999","52699","","","","Closed","0","0","","","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Summer&crn-1=52699",""
