"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","ACCT115","FUND OF FINANCIAL ACCOUNTING","001","90001","MR","10:00 AM - 11:20 AM","CKB 124","Open","17","10","Li, Nichole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90001",""
"202690","ACCT115","FUND OF FINANCIAL ACCOUNTING","003","90002","MR","1:00 PM - 2:20 PM","KUPF 103","Open","17","5","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90002",""
"202690","ACCT115","FUND OF FINANCIAL ACCOUNTING","005","90003","MR","2:30 PM - 3:50 PM","KUPF 105","Open","17","6","Li, Nichole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90003",""
"202690","ACCT115","FUND OF FINANCIAL ACCOUNTING","007","90004","MW","1:00 PM - 2:20 PM","KUPF 107","Open","17","5","Li, Nichole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90004",""
"202690","ACCT115","FUND OF FINANCIAL ACCOUNTING","101","90005","W","6:00 PM - 8:50 PM","KUPF 104","Open","17","3","Li, Nichole","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90005",""
"202690","ACCT115","FUND OF FINANCIAL ACCOUNTING","103","90006","T","6:00 PM - 8:50 PM","KUPF 204","Open","17","6","Nwachuku, Adaeze","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90006",""
"202690","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","001","90007","MR","11:30 AM - 12:50 PM","KUPF 206","Open","41","15","Derbaly, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90007",""
"202690","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","003","90008","MR","10:00 AM - 11:20 AM","KUPF 205","Open","41","28","Seda, Wilson","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90008",""
"202690","ACCT117","PRINCIPLES OF FIN ACCOUNTNG","101","90009","R","6:00 PM - 8:50 PM","KUPF 103","Open","41","14","Derbaly, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90009",""
"202690","ACCT215","MANAGERIAL ACCOUNTING I","001","90010","TR","8:30 AM - 9:50 AM","KUPF 207","Open","41","13","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90010",""
"202690","ACCT215","MANAGERIAL ACCOUNTING I","003","90011","MR","2:30 PM - 3:50 PM","KUPF 104","Open","41","36","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90011",""
"202690","ACCT325","INTERMEDIATE ACCOUNTING I","001","90012","TR","11:30 AM - 12:50 PM","KUPF 205","Open","43","17","Tamke, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90012",""
"202690","ACCT403","FINANCIAL STATEMENT ANALYSIS","451","90013","","TBA"," ","Open","5","4","Athari, Mahtab","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90013","Online Course- No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","ACCT425","TAX ACCOUNTING I","101","90014","R","6:00 PM - 8:50 PM","CAB 2020","Closed","20","20","Tang, Ariel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90014",""
"202690","ACCT615","MANAGEMENT ACCOUNTING","001","90015","M","2:30 PM - 5:20 PM","CAB 3052","Open","43","2","Taylor, Ming","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90015","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 09/8/26"
"202690","ACCT615","MANAGEMENT ACCOUNTING","101","90016","T","6:00 PM - 8:50 PM","KUPF 107","Open","43","2","Ma, Yue","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90016","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 09/15/26"
"202690","ACCT615","MANAGEMENT ACCOUNTING","851","90017","","TBA"," ","Open","30","2","Ma, Yue","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90017","Restricted to Virtual Campus Students Only<br />Online Course -no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","ACCT615","MANAGEMENT ACCOUNTING","853","90018","","TBA"," ","Open","30","17","Taylor, Ming","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90018","Open to Newark and Virtual Campus Students<br />Online Course -no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
