"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","BDS725","INDEPENDENT RESEARCH I","613","90265","","TBA"," ","Open","19","0","Chen, Yi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90265","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","870","90266","","TBA"," ","Open","19","0","Mehta, Rajiv","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90266","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","874","90267","","TBA"," ","Open","19","0","Taylor, Ming","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90267","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","879","90268","","TBA"," ","Open","19","0","Sylla, Cheickna","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90268","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","881","90269","","TBA"," ","Open","19","0","Shi, Jim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90269","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","882","90270","","TBA"," ","Open","19","0","Roy, Raja","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90270","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","885","90271","","TBA"," ","Open","19","0","Bandera, Cesar","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90271","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","886","90272","","TBA"," ","Open","19","0","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90272","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","889","90273","","TBA"," ","Open","19","0","Anandarajan, Asokan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90273","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","891","90274","","TBA"," ","Open","19","0","Gopalakrishnan, Shanthi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90274","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","893","90275","","TBA"," ","Open","19","0","Zhang, Haisu","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90275","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","894","90276","","TBA"," ","Open","19","0","Fresneda Fernandez, Jorge Eduardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90276","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","895","90277","","TBA"," ","Open","19","0","Egbelu, Pius","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90277","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","896","90278","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90278","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","897","90279","","TBA"," ","Open","19","0","Yu, Dantong","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90279","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","898","90280","","TBA"," ","Open","19","0","Tao, Xinyuan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90280","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","899","90281","","TBA"," ","Open","19","0","Chang, Ai Chih","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90281","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","931","90282","","TBA"," ","Open","19","0","Ehrlich, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90282","See department for permission to enroll."
"202690","BDS725","INDEPENDENT RESEARCH I","933","90283","","TBA"," ","Open","19","0","Kudyba, Stephan","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90283","See department for permission to enroll."
"202690","BDS726","INDEPENDENT RESEARCH II","613","90284","","TBA"," ","Open","19","0","Chen, Yi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90284","See department for permission to enroll."
