"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","CE100","INTRODUCTION TO CIVIL ENGINEER","001","90848","T","1:00 PM - 3:05 PM","COLT 416","Open","30","29","Golon, Frank","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90848",""
"202690","CE100","INTRODUCTION TO CIVIL ENGINEER","003","96298","R","1:00 PM - 3:05 PM","COLT 416","Open","30","25","Golon, Frank","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96298",""
"202690","CE101","CE COMPUTER AIDED DESIGN","001","90849","W","12:15 PM - 2:20 PM","FENS 160","Closed","40","40","Santos, Stephanie","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90849",""
"202690","CE200","SURVEYING","101","90850","R","6:00 PM - 8:50 PM","TIER LECT 1","Open","140","96","Lapatka, Allison","Hybrid","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90850","Must also register for CE 200A<br />Hybrid Course<br />Please see syllabus for meeting information"
"202690","CE200A","SURVEYING LAB","001","90851","R","10:00 AM - 12:50 PM","GITC 2400","Closed","20","20","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90851","Students must also register for CE 200<br />Hybrid Course<br />Please see syllabus for meeting information"
"202690","CE200A","SURVEYING LAB","001","90851","","TBA"," ","Closed","20","20","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90851","Students must also register for CE 200<br />Hybrid Course<br />Please see syllabus for meeting information"
"202690","CE200A","SURVEYING LAB","003","90852","R","1:00 PM - 3:50 PM","GITC 2400","Closed","20","20","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90852","Students must also register for CE 200<br />Hybrid Course<br />Please see syllabus for meeting information"
"202690","CE200A","SURVEYING LAB","003","90852","","TBA"," ","Closed","20","20","Lapatka, Allison","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90852","Students must also register for CE 200<br />Hybrid Course<br />Please see syllabus for meeting information"
"202690","CE200A","SURVEYING LAB","101","90853","S","9:00 AM - 11:50 AM","GITC 2400","Closed","20","20","Zimmermann, William","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90853","Students must also register for CE 200<br />Hybrid Course<br />Please see syllabus for meeting information"
"202690","CE200A","SURVEYING LAB","101","90853","","TBA"," ","Closed","20","20","Zimmermann, William","Hybrid","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90853","Students must also register for CE 200<br />Hybrid Course<br />Please see syllabus for meeting information"
"202690","CE210","CONSTRN MATRLS & PROCDRS","001","90854","MW","8:30 AM - 9:50 AM","COLT 416","Closed","25","25","Golon, Frank","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90854",""
"202690","CE210","CONSTRN MATRLS & PROCDRS","003","90855","M","10:00 AM - 11:20 AM","CKB 214","Closed","25","25","Karaa, Fadi","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=90855",""
