"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","CHEM121","FUND OF CHEMICAL PRINCIPLES I","001","91492","F","4:00 PM - 5:20 PM","FMH 213","Open","13","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91492","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM121","FUND OF CHEMICAL PRINCIPLES I","001","91492","T","11:30 AM - 12:50 PM","KUPF 211","Open","13","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91492","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM121","FUND OF CHEMICAL PRINCIPLES I","003","91493","R","4:00 PM - 5:20 PM","FMH 306","Open","13","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91493","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM121","FUND OF CHEMICAL PRINCIPLES I","003","91493","T","11:30 AM - 12:50 PM","KUPF 211","Open","13","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91493","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM121","FUND OF CHEMICAL PRINCIPLES I","101","91494","R","6:00 PM - 8:50 PM","FMH 306","Open","33","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91494","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM125","GENERAL CHEMISTRY I","001","91495","M","11:30 AM - 12:50 PM","TIER LECT 1","Open","3","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91495","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM125","GENERAL CHEMISTRY I","001","91495","R","2:30 PM - 3:50 PM","FMH 213","Open","3","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91495","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM125","GENERAL CHEMISTRY I","003","91496","M","11:30 AM - 12:50 PM","TIER LECT 1","Open","3","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91496","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM125","GENERAL CHEMISTRY I","003","91496","R","11:30 AM - 12:50 PM","FMH 213","Open","3","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91496","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
"202690","CHEM125","GENERAL CHEMISTRY I","005","91497","M","11:30 AM - 12:50 PM","TIER LECT 1","Open","3","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91497","This course has common exams.<br />See https://www5.njit.edu/registrar/exams/ for details."
