"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","COM225","ST: INTERMEDIATE MANDARIN","003","91806","TR","1:00 PM - 2:20 PM","FMH 310","Open","20","8","Shih, Chia-Ying","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91806","For students who have completed Introduction to Mandarin"
"202690","COM225","ST: INTRO TO MANDARIN","001","91805","TR","10:00 AM - 11:20 AM","FMH 310","Open","20","18","Shih, Chia-Ying","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91805",""
"202690","COM310","INTERPERSONAL COMMUNICATION","001","91807","TR","11:30 AM - 12:50 PM","FMH 313","Closed","20","20","Sun, Yao","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91807",""
"202690","COM312","EFFECTIVE COMMUNICATION","001","91808","MW","8:30 AM - 9:50 AM","FMH 409","Closed","19","19","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91808",""
"202690","COM312","EFFECTIVE COMMUNICATION","003","91809","TR","11:30 AM - 12:50 PM","FMH 305","Closed","19","19","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91809",""
"202690","COM312","EFFECTIVE COMMUNICATION","005","91810","TR","10:00 AM - 11:20 AM","CKB 317","Closed","19","19","Tobiessen, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91810",""
"202690","COM312","EFFECTIVE COMMUNICATION","009","91811","WF","8:30 AM - 9:50 AM","FMH 413","Open","19","14","Teicher, Julie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91811",""
"202690","COM312","EFFECTIVE COMMUNICATION","011","91812","MW","11:30 AM - 12:50 PM","FMH 309","Closed","19","19","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91812",""
"202690","COM312","EFFECTIVE COMMUNICATION","013","91813","TR","2:30 PM - 3:50 PM","FMH 407","Closed","19","19","Kornfeld, Louis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91813",""
"202690","COM312","EFFECTIVE COMMUNICATION","015","91814","WF","10:00 AM - 11:20 AM","FMH 411","Closed","19","18","Teicher, Julie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91814",""
"202690","COM312","EFFECTIVE COMMUNICATION","017","91815","MR","10:00 AM - 11:20 AM","FMH 413","Closed","19","19","Lipuma, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91815",""
"202690","COM312","EFFECTIVE COMMUNICATION","019","91816","WF","1:00 PM - 2:20 PM","TIER 107","Closed","19","19","Teicher, Julie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91816",""
"202690","COM312","EFFECTIVE COMMUNICATION","021","91817","MR","11:30 AM - 12:50 PM","CKB 114","Closed","19","19","Lipuma, James","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91817",""
"202690","COM312","EFFECTIVE COMMUNICATION","023","91818","TR","8:30 AM - 9:50 AM","FMH 106","Open","19","13","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91818",""
"202690","COM312","EFFECTIVE COMMUNICATION","025","91819","TR","2:30 PM - 3:50 PM","FMH 305","Closed","19","19","Stanik, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91819",""
"202690","COM312","EFFECTIVE COMMUNICATION","027","91820","TR","10:00 AM - 11:20 AM","GITC 2315A","Closed","19","19","Kornfeld, Louis","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91820",""
"202690","COM312","EFFECTIVE COMMUNICATION","029","91821","TR","1:00 PM - 2:20 PM","CULM 111","Closed","19","19","Tobiessen, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91821",""
"202690","COM312","EFFECTIVE COMMUNICATION","031","91822","MW","1:00 PM - 2:20 PM","FMH 305","Open","19","12","Gorelick, Risa","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91822",""
"202690","COM312","EFFECTIVE COMMUNICATION","101","91823","T","6:00 PM - 8:50 PM","FMH 307","Open","21","8","Edmondson, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91823",""
"202690","COM312","EFFECTIVE COMMUNICATION","103","91824","W","6:00 PM - 8:50 PM","FMH 309","Closed","21","21","Raufova, Nigora","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91824",""
"202690","COM312","EFFECTIVE COMMUNICATION","105","91825","M","6:00 PM - 8:50 PM","FMH 307","Open","21","20","Raufova, Nigora","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91825",""
"202690","COM312","EFFECTIVE COMMUNICATION","107","91826","R","6:00 PM - 8:50 PM","FMH 108","Open","21","3","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91826",""
"202690","COM312","EFFECTIVE COMMUNICATION","109","91827","F","6:00 PM - 8:50 PM","FMH 205","Open","24","9","Raufova, Nigora","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91827",""
"202690","COM312","EFFECTIVE COMMUNICATION","111","91828","T","6:00 PM - 8:50 PM","FMH 413","Open","21","2","Esche, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91828",""
"202690","COM313","WRITING IN THE WORKPLACE","001","91829","MR","8:30 AM - 9:50 AM","FMH 413","Closed","19","19","Crespo Solis, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91829",""
"202690","COM313","WRITING IN THE WORKPLACE","003","91830","MR","2:30 PM - 3:50 PM","FMH 413","Closed","19","19","Crovetto, Christina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91830",""
"202690","COM313","WRITING IN THE WORKPLACE","005","91831","TF","2:30 PM - 3:50 PM","CKB 219","Open","19","16","Apatoff, Benjamin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91831",""
"202690","COM313","WRITING IN THE WORKPLACE","007","91832","MR","11:30 AM - 12:50 PM","KUPF 211","Closed","19","19","Crespo Solis, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91832",""
"202690","COM313","WRITING IN THE WORKPLACE","009","91833","TF","10:00 AM - 11:20 AM","FMH 413","Open","19","16","Apatoff, Benjamin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91833",""
"202690","COM313","WRITING IN THE WORKPLACE","011","91834","MR","11:30 AM - 12:50 PM","KUPF 207","Closed","19","19","Crovetto, Christina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91834",""
"202690","COM313","WRITING IN THE WORKPLACE","013","91835","MR","8:30 AM - 9:50 AM","CKB 313","Closed","19","19","Crovetto, Christina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91835",""
"202690","COM313","WRITING IN THE WORKPLACE","015","91836","MW","8:30 AM - 9:50 AM","FMH 309","Closed","19","19","Egan, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91836",""
"202690","COM313","WRITING IN THE WORKPLACE","017","91837","MR","4:00 PM - 5:20 PM","FMH 314","Closed","19","19","Crespo Solis, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91837",""
"202690","COM313","WRITING IN THE WORKPLACE","019","91838","MW","1:00 PM - 2:20 PM","FMH 413","Closed","19","19","Egan, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91838",""
"202690","COM313","WRITING IN THE WORKPLACE","021","91839","TR","11:30 AM - 12:50 PM","FMH 310","Closed","19","19","Egan, John","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91839",""
"202690","COM313","WRITING IN THE WORKPLACE","023","91840","TF","1:00 PM - 2:20 PM","CKB 219","Open","19","4","Apatoff, Benjamin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91840",""
"202690","COM313","WRITING IN THE WORKPLACE","025","91841","MR","1:00 PM - 2:20 PM","CKB 303","Closed","19","19","Siemann, Catherine","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91841",""
"202690","COM313","WRITING IN THE WORKPLACE","101","91842","M","6:00 PM - 8:50 PM","FMH 310","Open","21","20","Chatterjee, Annie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91842",""
"202690","COM313","WRITING IN THE WORKPLACE","103","91843","W","6:00 PM - 8:50 PM","CKB 313","Closed","21","21","Chatterjee, Annie","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91843",""
"202690","COM313","WRITING IN THE WORKPLACE","105","91844","T","6:00 PM - 8:50 PM","FMH 314","Closed","21","21","Mednick, Kyle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91844",""
"202690","COM313","WRITING IN THE WORKPLACE","107","91845","R","6:00 PM - 8:50 PM","CKB 126","Closed","21","21","Mednick, Kyle","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91845",""
"202690","COM313","WRITING IN THE WORKPLACE- HONORS","H01","91846","MR","2:30 PM - 3:50 PM","FMH 405","Closed","19","19","Crespo Solis, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91846","Honors Course"
"202690","COM313","WRITING IN THE WORKPLACE- HONORS","H03","91847","MW","11:30 AM - 12:50 PM","CKB 320","Closed","19","19","Laudenbach, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91847","Honors Course"
"202690","COM324","PODCAST PRACTICUM","101","91848","T","6:00 PM - 8:50 PM","CULM 311","Open","15","8","Funkhouser, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91848",""
"202690","COM325","ST IN COM MEDIA","013","96291","TR","8:30 AM - 9:50 AM","FMH 313","Open","30","7","Snyder, Eugene","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96291",""
"202690","COM325","ST: ENGINEERING COMMUNICATION","005","91851","MW","1:00 PM - 2:20 PM","FMH 405","Open","25","7","Laudenbach, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91851",""
"202690","COM325","ST: LEADERSHIP COMMUNICATION","103","96289","M","6:00 PM - 8:50 PM","FMH 321","Open","30","4","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96289",""
"202690","COM325","ST: MUSIC COMPOSITION","011","96269","TR","4:00 PM - 5:20 PM"," ","Cancelled","35","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96269","Cancelled 04/01/26"
"202690","COM325","ST: ORGANIZATIONAL CRISIS COMMUNICATION
","107","96290","M","6:00 PM - 8:50 PM","CKB 219","Open","24","0","Golden, Matthew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96290",""
"202690","COM325","ST: PROJECT LEADERSHIP","001","91849","TR","8:30 AM - 9:50 AM","CKB 206","Open","35","2","Kramer, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91849",""
"202690","COM325","ST: PROJECT LEADERSHIP","003","91850","TR","11:30 AM - 12:50 PM","CKB 320","Open","35","18","Kramer, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91850",""
"202690","COM325","ST: SONGWRITING: WRITING AND PRODUCING MUSIC","009","91853","TR","4:00 PM - 5:20 PM"," ","Cancelled","35","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91853","Cancelled 03/27/26<br />See COM  384"
"202690","COM325","ST: STORYTELLING IN COMMUNCATIONS","101","91854","T","6:00 PM - 8:50 PM","CKB 314","Open","25","7","Tobiessen, Joshua","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91854",""
"202690","COM325","ST: THE MUSIC BUSINESS","105","96288","R","6:00 PM - 8:50 PM","FMH 411","Open","30","5","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96288",""
"202690","COM325","ST: WRITING AND THE MOVING IMAGE","007","91852","TR","1:00 PM - 2:20 PM","FMH 407","Open","35","14","Rutkoff, Rebekah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91852",""
"202690","COM337","PHOTOJOURNALISM","001","91855","TR","2:30 PM - 3:50 PM","FMH 409","Closed","25","25","Johnson, Carol","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91855",""
"202690","COM339","PRACTICAL JOURNALISM","001","91856","MW","10:00 AM - 11:20 AM","FMH 409","Closed","25","25","Ascarelli, Miriam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91856",""
"202690","COM341","DOCUMENTARY FILM AND MEDIA","001","91857","TR","10:00 AM - 11:20 AM","FMH 203","Open","30","15","Rutkoff, Rebekah","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91857",""
"202690","COM353","APPLIED VISUAL COMMUNICATION","101","91858","W","6:00 PM - 8:50 PM","MALL PC39","Closed","25","25","Funkhouser, Christopher","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91858",""
"202690","COM380","MUSIC AND SOCIETY","001","91859","WF","8:30 AM - 9:50 AM","CKB 320","Open","30","18","Valencia, Gonzalo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91859",""
"202690","COM381","ELECTRONIC MUSIC IN PRACTICE","001","96286","TR","11:30 AM - 12:50 PM","CULM 311","Closed","18","18","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96286",""
"202690","COM381","ELECTRONIC MUSIC IN PRACTICE","003","96287","TR","1:00 PM - 2:20 PM","CULM 311","Closed","18","18","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96287",""
"202690","COM384","SONGWRITING AND PRODUCING","001","96277","TR","4:00 PM - 5:20 PM","CKB 215","Open","35","15","Montanari, Laura","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96277",""
"202690","COM490","CO-OP WORK EXPERIENCE I","631","91860","","TBA"," ","Open","19","0","Snyder, Eugene","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=91860","Permission of instructor required<br />See department for permission to enroll."
