"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","DD263","DIGITAL DESIGN STUDIO I","001","92448","MR","1:00 PM - 5:20 PM"," ","Open","15","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92448",""
"202690","DD263","DIGITAL DESIGN STUDIO I","003","92449","MR","1:00 PM - 5:20 PM"," ","Open","15","1","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92449",""
"202690","DD275","FOUNDATION OF GAME DESIGN","001","92450","F","8:30 AM - 11:20 AM","CAMP 236C","Open","18","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92450",""
"202690","DD275","FOUNDATION OF GAME DESIGN","101","92451","T","6:00 PM - 8:50 PM","CAMP 236H","Open","18","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92451",""
"202690","DD303","FOUNDATIONS OF SOUND AND MUSIC","001","92452","F","1:00 PM - 3:50 PM","WEST 249","Open","40","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92452",""
"202690","DD334","SIMULATED ENVIRONMENTS","101","92453","R","6:00 PM - 8:50 PM","WEST 650","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92453",""
"202690","DD334","SIMULATED ENVIRONMENTS","103","92454","T","6:00 PM - 8:50 PM","WEST 650","Open","15","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92454",""
"202690","DD363","DIGITAL DESIGN STUDIO III","001","92455","MR","1:00 PM - 5:20 PM","WEST 358","Open","15","0","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92455",""
"202690","DD363","DIGITAL DESIGN STUDIO III","003","92456","MR","1:00 PM - 5:20 PM","WEST 358","Open","15","0","","Face-to-Face","5","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92456",""
"202690","DD443","2-DIMENSIONAL CHARACTER DESIGN","101","92457","T","6:00 PM - 8:50 PM","CKB 313","Open","18","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92457",""
"202690","DD444","3-DIMENSIONAL CHARACTER DEVEL","101","92458","W","6:00 PM - 8:50 PM","CAMP 236H","Open","18","1","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92458",""
"202690","DD601","GRAPHIC DES. AND COL. THEORY","851","92459","","TBA"," ","Open","25","0","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92459","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","DD634","PHYSICAL COMPUTING FOR DES.","851","92460","","TBA"," ","Open","25","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=92460",""
