"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","EM602","MANAGEMENT SCIENCE","101","93051","R","6:00 PM - 8:50 PM","ME 221","Open","30","6","Abdel-Malek, Layek","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93051",""
"202690","EM602","MANAGEMENT SCIENCE","851","93052","","TBA"," ","Open","30","13","Cai, Wenbo","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93052","Open to Newark and Virtual Campus Students<br />Online Course - No Required Meeting Times"
"202690","EM631","LEGAL ASPCT IN ENVR ENGR","851","93053","","TBA"," ","Open","30","6","Bonchonsky, Michael","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93053","Open to Newark and Virtual Campus Students<br />Online Course - No Required Meeting Times"
"202690","EM632","LEGAL ASPECTS IN CONSTR","851","93054","","TBA"," ","Open","30","7","Avoryie, Abigail","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93054","Open to Newark and Virtual Campus Students<br />Online Course - No Required Meeting Times"
"202690","EM633","LEGAL ASPCTS OF HLT SFTY","101","93055","T","6:00 PM - 8:50 PM","CKB 222","Open","30","3","Kothari, Prakash","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93055",""
"202690","EM636","PROJECT MANAGEMENT","101","93056","W","6:00 PM - 8:50 PM","FMH 411","Open","40","6","Zoppi, Philip","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93056","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery<br />Face-to-Face meetings held alternate weeks starting: 9-02-26"
"202690","EM636","PROJECT MANAGEMENT","851","93057","","TBA"," ","Open","30","8","Naraine, Deoraj","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93057","Open to Newark and Virtual Campus Students<br />Online Course - No Required Meeting Times"
"202690","EM637","PROJECT CONTROL","851","93058","","TBA"," ","Open","30","12","Snyder, Harris","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93058","Open to Newark and Virtual Campus Students<br />Online Course - No Required Meeting Times"
"202690","EM640","DISTRIBUTION LOGISTICS","851","93059","","TBA"," ","Open","30","7","Yagci, Ismail","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93059","Open to Newark and Virtual Campus Students<br />Online Course - No Required Meeting Times"
"202690","EM691","COST ESTIMTNG CAPTL PROJ","851","93060","","TBA"," ","Open","30","12","Jaramillo Cueva, Cesar Augusto","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93060","Open to Newark and Virtual Campus Students<br />Online Course - No Required Meeting Times"
