"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","ENGL099","ENGLISH COMP:RDNG, WRIT","001","93188","TF","2:30 PM - 3:50 PM","CKB 220","Closed","0","0","Fischl-Kruger, Jennifer","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93188",""
"202690","ENGL100","INTRO TO ACADEMIC RDG, WRTG","001","93189","TF","1:00 PM - 2:20 PM","CKB G-17A","Closed","0","0","Fischl-Kruger, Jennifer","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93189",""
"202690","ENGL100","INTRO TO ACADEMIC RDG, WRTG","003","93190","MW","10:00 AM - 11:20 AM","CKB G-17A","Closed","0","0","Chen, Kim","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93190",""
"202690","ENGL101","INTRO TO ACADEMIC WRITING","001","93191","TR","1:00 PM - 2:20 PM","CKB 222","Open","1","0","Gonzalez, Christina","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93191",""
"202690","ENGL101","INTRO TO ACADEMIC WRITING","003","93192","MR","2:30 PM - 3:50 PM","CKB G-17A","Closed","1","1","Smith-Henry, Dawn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93192",""
"202690","ENGL101","INTRO TO ACADEMIC WRITING","005","93193","TR","8:30 AM - 9:50 AM","CKB G-17A","Closed","1","1","Lavender, Kaitlyn","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93193",""
"202690","ENGL101","INTRO TO ACADEMIC WRITING","007","93194","TF","1:00 PM - 2:20 PM","FMH 205","Closed","1","1","Chattaraj, Durba","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93194",""
"202690","ENGL101","INTRO TO ACADEMIC WRITING","009","93195","TR","4:00 PM - 5:20 PM","CKB G-17A","Closed","1","1","Coppola, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93195",""
"202690","ENGL101","INTRO TO ACADEMIC WRITING","011","93196","TF","2:30 PM - 3:50 PM","FMH 405","Open","1","0","Chattaraj, Durba","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93196",""
"202690","ENGL101","INTRO TO ACADEMIC WRITING","013","93197","TF","4:00 PM - 5:20 PM","FMH 314","Closed","1","1","Bockholdt, Ashley","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93197",""
