"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","001","93289","M","8:30 AM - 9:50 AM","FMH 106","Closed","0","0","Lubliner, David","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93289",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","001","93289","TR","4:00 PM - 5:20 PM","CKB 217","Closed","0","0","Lubliner, David","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93289",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","001","93289","W","8:30 AM - 9:50 AM","MALL PC36","Closed","0","0","Lubliner, David","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93289",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","003","93290","F","4:00 PM - 5:20 PM","MALL PC37","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93290",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","003","93290","M","2:30 PM - 3:50 PM","CKB 206","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93290",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","003","93290","TR","4:00 PM - 5:20 PM","CKB 217","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93290",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","005","93291","M","1:00 PM - 2:20 PM","MALL PC36","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93291",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","005","93291","T","4:00 PM - 5:20 PM","FMH 106","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93291",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","005","93291","TR","11:30 AM - 12:50 PM","CULM LECT 2","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93291",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","007","93292","R","2:30 PM - 3:50 PM","CKB 120","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93292",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","007","93292","TR","11:30 AM - 12:50 PM","CULM LECT 2","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93292",""
"202690","ENGR101","ANALYTICAL METH FOR ENGR APPL","007","93292","W","1:00 PM - 2:20 PM","MALL PC37","Closed","0","0","","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93292",""
