"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","ET101","ENGR TECH FOUNDATIONS","001","93344","W","1:00 PM - 2:20 PM","WEST LECT 1","Closed","0","92","Rahman, Sahidur","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93344",""
"202690","ET103","INTRO TO ET DESIGN","001","93345","MR","10:45 AM - 12:50 PM","MALL PC39","Closed","5","24","Visakay, Alexander","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93345",""
"202690","ET103","INTRO TO ET DESIGN","003","93346","MR","1:45 PM - 3:50 PM","GITC 2302","Closed","5","25","Frank, Philip","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93346",""
"202690","ET103","INTRO TO ET DESIGN","005","93347","TR","11:30 AM - 1:35 PM","MALL PC36","Closed","5","25","Sodhi, Jaskirat","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93347",""
"202690","ET103","INTRO TO ET DESIGN","007","93348","TF","2:30 PM - 4:35 PM","MALL PC40","Closed","5","24","Rahman, Sahidur","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93348",""
"202690","ET103","INTRO TO ET DESIGN","101","93349","T","6:00 PM - 10:05 PM","MALL PC36","Closed","25","25","Beshay, Joseph","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93349",""
"202690","ET103","INTRO TO ET DESIGN","103","93350","W","6:00 PM - 10:05 PM","MALL PC36","Open","25","13","Rodriguez, Max","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93350",""
"202690","ET103","INTRO TO ET DESIGN","105","93351","M","6:00 PM - 10:05 PM","MALL PC37","Open","25","23","Orlos, Daniel","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93351",""
"202690","ET103","INTRO TO ET DESIGN","DBP","97103","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97103","For Don Bosco Preparatory High School Students Only"
"202690","ET103","INTRO TO ET DESIGN","EST","97104","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97104","For Essex School of Technology Students Only"
"202690","ET103","INTRO TO ET DESIGN","GRH","97105","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97105","For Glenridge High School Students Only"
"202690","ET103","INTRO TO ET DESIGN","HCR","97090","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97090","For Hunterdon Central Regional High School Students Only"
"202690","ET103","INTRO TO ET DESIGN","HPH","97106","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97106","For High Point Regional High School Students Only"
"202690","ET103","INTRO TO ET DESIGN","LIV","97107","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97107","For Livingston High School Students Only"
"202690","ET103","INTRO TO ET DESIGN","MSE","97102","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97102","For The Academy for Math Science & Engineering Students Only"
"202690","ET103","INTRO TO ET DESIGN","MVT","97108","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97108","For Middlesex County Vocational Technical School Students On"
"202690","ET103","INTRO TO ET DESIGN","PAC","97109","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97109","For Paterson Charter School for Science & Tech Students Only"
"202690","ET103","INTRO TO ET DESIGN","SVS","97088","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97088","For Somerset County Vocational & Technical Schools Students"
"202690","ET103","INTRO TO ET DESIGN","WCT","97092","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97092","For Warren County Technical Schools Students Only"
"202690","ET103","INTRO TO ET DESIGN","WHS","97091","","TBA"," ","Closed","0","0","","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=97091","For West Side High School Students Only"
