"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","HRM301","ORGANIZATIONAL BEHAVIOR","001","93685","R","1:00 PM - 2:20 PM","KUPF 205","Open","43","7","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93685",""
"202690","HRM301","ORGANIZATIONAL BEHAVIOR","001","93685","T","1:00 PM - 2:20 PM","KUPF 107","Open","43","7","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93685",""
"202690","HRM301","ORGANIZATIONAL BEHAVIOR","003","93686","TR","10:00 AM - 11:20 AM","FMH 306","Open","43","1","Schachter, Hindy","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93686",""
"202690","HRM301","ORGANIZATIONAL BEHAVIOR","451","93687","","TBA"," ","Open","30","14","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93687","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","HRM301","ORGANIZATIONAL BEHAVIOR","453","93688","","TBA"," ","Open","30","2","Casal, Jose","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93688","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","HRM301","ORGANIZATIONAL BEHAVIOR","455","96128","","TBA"," ","Open","30","0","Casal, Jose","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96128","Restricted to Online Accelerated Degree Completion<br />Class meets first half of the semester: 09/01/26-10/21/26<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","HRM601","ORG BEHAVIOR IN TECH ORGS","101","93689","M","6:00 PM - 8:50 PM","CKB 124","Open","43","1","Casal, Jose","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93689","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 9/8/26"
"202690","HRM601","ORG BEHAVIOR IN TECH ORGS","851","93690","","TBA"," ","Open","30","1","Somers, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93690","Restricted to Virtual Campus Students Only<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","HRM601","ORG BEHAVIOR IN TECH ORGS","853","93691","","TBA"," ","Open","30","3","Somers, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93691","Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery<br />Open to Newark and Virtual Campus Students"
"202690","HRM601","ORG BEHAVIOR IN TECH ORGS","855","93692","","TBA"," ","Open","30","0","Somers, Mark","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93692","Open to Newark and Virtual Campus Students<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","HRM630","MANAGING TECH & ORG CHNG","851","93693","","TBA"," ","Open","30","2","Attallah, Paul","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93693","Open to Newark and Virtual Campus Students<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
