"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","IS117","INTRO TO WEBSITE DEVELOPMENT","001","93895","MW","10:00 AM - 11:20 AM","CKB 223","Closed","26","26","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93895","Students must bring their own device for this section."
"202690","IS117","INTRO TO WEBSITE DEVELOPMENT","003","93896","MR","2:30 PM - 3:50 PM","CKB 223","Closed","26","26","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93896","Students must bring their own device for this section."
"202690","IS117","INTRO TO WEBSITE DEVELOPMENT","005","93897","MR","11:30 AM - 12:50 PM","CKB 106","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93897","Students must bring their own device for this section."
"202690","IS117","INTRO TO WEBSITE DEVELOPMENT","007","93898","TR","8:30 AM - 9:50 AM","CKB 223","Open","26","8","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93898","Students must bring their own device for this section."
"202690","IS218","BUILDING WEB APPLICATIONS","001","93899","WF","10:00 AM - 11:20 AM","CKB 313","Open","30","11","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93899","Students must bring their own device for this section."
"202690","IS218","BUILDING WEB APPLICATIONS","003","93900","MR","2:30 PM - 3:50 PM","CKB 226","Open","30","27","Williams, Keith","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93900","Students must bring their own device for this section."
"202690","IS247","DESIGNING THE USER EXPERIENCE","001","93901","MR","2:30 PM - 3:50 PM","CKB G-08","Open","25","18","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93901",""
"202690","IS247","DESIGNING THE USER EXPERIENCE","003","93902","TR","11:30 AM - 12:50 PM","CKB G-08","Closed","25","25","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93902",""
"202690","IS247","DESIGNING THE USER EXPERIENCE","005","93903","TR","10:00 AM - 11:20 AM","CKB G-08","Open","25","20","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93903",""
"202690","IS247","DESIGNING THE USER EXPERIENCE - HONORS","HM1","93904","TR","11:30 AM - 12:50 PM","CKB G-08","Closed","3","3","Spryszynski, Adam","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93904","Honors Course"
"202690","IS257","DESIGN THINKING: ADDRESSING STRUCTURAL INEQUALITY - HONORS","H01","93905","MW","10:00 AM - 11:20 AM","TIER 112","Open","30","18","Lee, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93905","Honors Course"
"202690","IS265","INTRO TO INFORMATION SYSTEMS","001","93906","MW","8:30 AM - 9:50 AM","CKB 226","Open","35","18","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93906",""
"202690","IS265","INTRO TO INFORMATION SYSTEMS","003","93907","TR","10:00 AM - 11:20 AM","CKB 206","Closed","35","35","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93907",""
"202690","IS265","INTRO TO INFORMATION SYSTEMS","101","93908","M","6:00 PM - 8:50 PM","CKB 226","Open","35","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93908",""
"202690","IS331","DATABASE DESIGN, MGMT & APPL","001","93909","MW","10:00 AM - 11:20 AM","FMH 207","Closed","40","40","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93909","Students must bring their own device for this section."
"202690","IS331","DATABASE DESIGN, MGMT & APPL","003","93910","TF","8:30 AM - 9:50 AM","KUPF 202","Open","40","21","Lin, Lin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93910","Students must bring their own device for this section."
"202690","IS331","DATABASE DESIGN, MGMT & APPL","451","93911","","TBA"," ","Closed","30","29","","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93911","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","IS333","SOCIAL NETWORK ANALYSIS","001","93912","TF","8:30 AM - 9:50 AM","CKB 226","Open","35","20","Naderi, Azadeh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93912",""
"202690","IS344","COMPUTING APPLICATIONS IN BUS","451","93913","","TBA"," ","Closed","30","30","Ullman, David","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93913","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","IS350","COMPUTERS, SOCIETY AND ETHICS","003","93915","W","8:30 AM - 11:20 AM","KUPF 103","Open","43","13","Jones, Quentin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93915",""
"202690","IS350","COMPUTERS, SOCIETY AND ETHICS","005","93916","F","8:30 AM - 11:20 AM","ME 221","Open","43","4","Jones, Quentin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=93916",""
