"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","IT101","INTRO TO INFORMTN TECHNOLGY","001","94243","WF","8:30 AM - 9:50 AM","CKB 313","Open","15","1","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94243","Students must bring their own device for this section."
"202690","IT101","INTRO TO INFORMTN TECHNOLGY","003","94244","MW","11:30 AM - 12:50 PM","CKB 120","Open","15","4","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94244","Students must bring their own device for this section."
"202690","IT101","INTRO TO INFORMTN TECHNOLGY","005","94245","TR","1:00 PM - 2:20 PM","CKB 215","Closed","15","15","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94245","Students must bring their own device for this section."
"202690","IT101","INTRO TO INFORMTN TECHNOLGY","007","94246","MW","1:00 PM - 2:20 PM","CKB 226","Open","15","12","Chiusano, Mark","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94246","Students must bring their own device for this section."
"202690","IT101","INTRO TO INFORMTN TECHNOLGY","009","94247","WF","1:00 PM - 2:20 PM","CKB 313","Open","15","2","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94247","Students must bring their own device for this section."
"202690","IT101","INTRO TO INFORMTN TECHNOLGY","101","94248","M","6:00 PM - 8:50 PM","CKB 313","Open","30","3","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94248","Students must bring their own device for this section."
"202690","IT114","ADV PROGRAM FOR INFOR TECH","001","94249","MW","1:00 PM - 2:20 PM","CKB 215","Open","30","26","Toegel, Matt","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94249","Students must bring their own device for this section."
"202690","IT114","ADV PROGRAM FOR INFOR TECH","003","94250","TR","1:00 PM - 2:20 PM","CKB 320","Closed","30","30","Toegel, Matt","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94250","Students must bring their own device for this section."
"202690","IT114","ADV PROGRAM FOR INFOR TECH","005","94251","TR","11:30 AM - 12:50 PM","CKB 219","Closed","30","30","Toegel, Matt","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94251","Students must bring their own device for this section."
"202690","IT114","ADV PROGRAM FOR INFOR TECH","007","94252","TR","4:00 PM - 5:20 PM","GITC 3600","Open","30","4","Halper, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94252","Students must bring their own device for this section."
"202690","IT120","INTRO TO NETWORKING TECHNOLOGY","001","94253","MR","8:30 AM - 9:50 AM","GITC 1202","Open","25","2","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94253",""
"202690","IT120","INTRO TO NETWORKING TECHNOLOGY","003","94254","MR","10:00 AM - 11:20 AM","GITC 1202","Open","25","10","Watrous-deVersterre, Lori","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94254",""
"202690","IT120","INTRO TO NETWORKING TECHNOLOGY","005","94255","MR","2:30 PM - 3:50 PM","GITC 1202","Open","25","19","Farley, Jennifer","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94255",""
"202690","IT120","INTRO TO NETWORKING TECHNOLOGY","007","94256","TF","2:30 PM - 3:50 PM","GITC 1202","Open","25","17","Farley, Jennifer","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94256",""
"202690","IT120","INTRO TO NETWORKING TECHNOLOGY","101","94257","M","6:00 PM - 8:50 PM","GITC 1202","Open","25","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94257",""
"202690","IT120","INTRO TO NETWORKING TECHNOLOGY","103","94258","T","6:00 PM - 8:50 PM","GITC 1202","Open","25","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94258",""
"202690","IT201","INFORMATION DESIGN TECHNIQUES","001","94259","T","11:30 AM - 12:50 PM","GITC 3200","Open","26","15","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94259","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","001","94259","","TBA"," ","Open","26","15","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94259","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","003","94260","T","1:00 PM - 2:20 PM","GITC 3200","Open","26","18","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94260","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","003","94260","","TBA"," ","Open","26","18","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94260","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","005","94261","R","11:30 AM - 12:50 PM","GITC 3200","Open","26","11","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94261","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","005","94261","","TBA"," ","Open","26","11","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94261","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","007","94262","R","1:00 PM - 2:20 PM","GITC 3200","Open","26","10","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94262","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","007","94262","","TBA"," ","Open","26","10","Sequeira, Marc","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94262","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","009","94263","W","11:30 AM - 12:50 PM","GITC 3200","Open","26","17","Daher, Salam","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94263","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","009","94263","","TBA"," ","Open","26","17","Daher, Salam","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94263","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","011","94264","W","1:00 PM - 2:20 PM","GITC 3200","Open","26","16","Daher, Salam","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94264","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","011","94264","","TBA"," ","Open","26","16","Daher, Salam","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94264","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
"202690","IT201","INFORMATION DESIGN TECHNIQUES","013","94265","M","1:00 PM - 2:20 PM","GITC 3200","Open","26","12","Nersesian, Eric","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94265","Hybrid Course<br />https://www.njit.edu/registrar/instructionaldelivery/"
