"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","MARC701B","MASTER'S THESIS","002","94361","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94361","See department for permission to enroll."
"202690","MARC701B","MASTER'S THESIS","003","94362","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94362","See department for permission to enroll."
"202690","MARC701B","MASTER'S THESIS","004","94363","","TBA"," ","Open","19","0","Franck, Karen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94363","See department for permission to enroll."
"202690","MARC701B","MASTER'S THESIS","011","94364","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94364","See department for permission to enroll."
"202690","MARC701B","MASTER'S THESIS","020","94365","","TBA"," ","Open","19","0","Schuman, Anthony","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94365","See department for permission to enroll."
"202690","MARC701B","MASTER'S THESIS","032","94366","","TBA"," ","Open","19","0","Bartle, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94366","See department for permission to enroll."
"202690","MARC701B","MASTER'S THESIS","035","94367","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94367","See department for permission to enroll."
"202690","MARC701B","MASTER'S THESIS","037","94368","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94368","See department for permission to enroll."
"202690","MARC701C","MASTER'S THESIS","002","94369","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94369","See department for permission to enroll."
"202690","MARC701C","MASTER'S THESIS","005","94370","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94370","See department for permission to enroll."
"202690","MARC701C","MASTER'S THESIS","037","94371","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94371","See department for permission to enroll."
