"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","MET105","APPLIED CAD","101","94905","M","6:00 PM - 8:50 PM","MALL PC36","Open","25","13","Shamroukh, Ramy","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94905",""
"202690","MET105","APPLIED CAD","103","94906","R","6:00 PM - 8:50 PM","MALL PC36","Open","25","6","Shamroukh, Ramy","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94906",""
"202690","MET205","ADVANCED CAD","001","94907","MW","11:30 AM - 1:35 PM","MALL PC40","Open","25","16","Sodhi, Jaskirat","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94907",""
"202690","MET235","STATICS FOR TECHNOLOGY","001","94908","TF","8:30 AM - 9:50 AM","FMH 307","Open","30","8","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94908",""
"202690","MET235","STATICS FOR TECHNOLOGY","101","94909","W","6:00 PM - 8:50 PM","FMH 413","Open","30","6","Tawfik, Mena","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94909",""
"202690","MET236","DYNAMICS FOR TECHNOLOGY","101","94910","M","6:00 PM - 7:55 PM","FMH 411","Open","30","11","Botros, Mina","Face-to-Face","2","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94910",""
"202690","MET237","STRNGTH OF MATERIALS FOR TEC","001","94911","M","8:30 AM - 10:35 AM","CKB 320","Open","20","6","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94911",""
"202690","MET237","STRNGTH OF MATERIALS FOR TEC","001","94911","W","8:30 AM - 10:35 AM","CKB 106","Open","20","6","Sengupta, Arijit","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94911",""
"202690","MET237","STRNGTH OF MATERIALS FOR TEC","101","94912","T","6:00 PM - 7:55 PM","FMH 411","Open","20","16","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94912",""
"202690","MET237","STRNGTH OF MATERIALS FOR TEC","101","94912","T","8:05 PM - 10:00 PM","CKB 126","Open","20","16","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94912",""
"202690","MET301","ANALYSIS & DESGN MACHN ELMNT I","001","94913","R","1:00 PM - 3:05 PM","MALL PC37","Open","20","16","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94913",""
"202690","MET301","ANALYSIS & DESGN MACHN ELMNT I","001","94913","T","1:00 PM - 3:05 PM","FMH 108","Open","20","16","Lieber, Samuel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94913",""
"202690","MET301","ANALYSIS & DESGN MACHN ELMNT I","101","94914","M","6:00 PM - 7:55 PM","GITC 1400","Open","20","12","Belal, Ahmed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94914",""
"202690","MET301","ANALYSIS & DESGN MACHN ELMNT I","101","94914","M","8:05 PM - 10:00 PM","MALL PC39","Open","20","12","Belal, Ahmed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94914",""
"202690","MET302","ANAL & DGN MACHN ELEM II","001","94915","F","8:30 AM - 10:35 AM","ME 214","Open","20","10","Rahman, Sahidur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94915",""
"202690","MET302","ANAL & DGN MACHN ELEM II","001","94915","W","8:30 AM - 10:35 AM","CKB 215","Open","20","10","Rahman, Sahidur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94915",""
"202690","MET302","ANAL & DGN MACHN ELEM II","101","94916","T","6:00 PM - 7:55 PM","CKB 223","Closed","20","20","Belal, Ahmed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94916",""
"202690","MET302","ANAL & DGN MACHN ELEM II","101","94916","T","8:05 PM - 10:00 PM","ME 214","Closed","20","20","Belal, Ahmed","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94916",""
"202690","MET303","APPLIED THERMODYNAMICS","101","94917","R","6:00 PM - 8:50 PM","TIER 111","Open","30","9","Rohafza, Ali","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94917",""
"202690","MET303","APPLIED THERMODYNAMICS","451","94918","","TBA"," ","Open","30","23","Tafuni, Angelantonio","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94918","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MET304","APPLIED FLUID MECHANICS","101","94919","T","6:00 PM - 7:55 PM","GITC 1400","Open","20","18","Rahman, Sahidur","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94919",""
