"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","001","94931","MW","10:00 AM - 11:20 AM","KUPF 106","Open","23","22","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94931","Students must bring their own device for this section."
"202690","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","001","94931","R","10:00 AM - 12:05 PM","FMH 408","Open","23","22","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94931","Students must bring their own device for this section."
"202690","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","003","94932","F","1:00 PM - 3:05 PM","KUPF 106","Open","23","20","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94932","Students must bring their own device for this section."
"202690","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","003","94932","TR","1:00 PM - 2:20 PM","CKB 204","Open","23","20","Rudna, Olena","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94932","Students must bring their own device for this section."
"202690","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","101","94933","R","6:00 PM - 8:50 PM","KUPF 105","Open","23","7","Zhou, Fuqin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94933","Students must bring their own device for this section."
"202690","MGMT116","QUANTITATIVE ANALYSIS APPL BUS","101","94933","T","6:00 PM - 7:55 PM","KUPF 203","Open","23","7","Zhou, Fuqin","Face-to-Face","4","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94933","Students must bring their own device for this section."
"202690","MGMT190","INTRODUCTION TO BUSINESS","001","94934","MR","2:30 PM - 3:50 PM","KUPF 204","Closed","0","0","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94934",""
"202690","MGMT190","INTRODUCTION TO BUSINESS","003","94935","MW","11:30 AM - 12:50 PM","KUPF 107","Closed","0","0","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94935",""
"202690","MGMT190","INTRODUCTION TO BUSINESS","005","94936","MW","8:30 AM - 9:50 AM","KUPF 204","Closed","0","0","Salmeron, Maria","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94936",""
"202690","MGMT190","INTRODUCTION TO BUSINESS","101","94937","T","6:00 PM - 8:50 PM","KUPF 208","Closed","13","13","Joseph, Miranda","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94937",""
"202690","MGMT190","INTRODUCTION TO BUSINESS","103","94938","M","6:00 PM - 8:50 PM","KUPF 204","Open","13","11","Roman, Joseph","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94938",""
"202690","MGMT216","BUSINESS DATA ANALYTICS","001","94939","TR","8:30 AM - 9:50 AM","CKB 217","Closed","43","43","Gupta, Shubham","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94939","Students must bring their own device for this section."
"202690","MGMT216","BUSINESS DATA ANALYTICS","003","94940","TF","2:30 PM - 3:50 PM","KUPF 117","Open","43","37","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94940","Students must bring their own device for this section."
"202690","MGMT216","BUSINESS DATA ANALYTICS","451","96153","","TBA"," ","Open","30","0","Chang, Ai Chih","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96153","Restricted to Online Accelerated Degree Completion Only<br />Class meets second half of the semester: 10/22/26-12/22/26<br />Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MGMT216","BUSINESS DATA ANALYTICS","453","94941","","TBA"," ","Closed","30","30","Gupta, Shubham","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=94941","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
