"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","MRKT330","PRINCIPLES OF MARKETING","001","95022","TR","4:00 PM - 5:20 PM","KUPF 209","Closed","33","33","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95022",""
"202690","MRKT330","PRINCIPLES OF MARKETING","101","95023","M","6:00 PM - 8:50 PM","KUPF 205","Open","43","8","Mehta, Rajiv","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95023",""
"202690","MRKT330","PRINCIPLES OF MARKETING","451","95024","","TBA"," ","Closed","30","30","Mehta, Rajiv","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95024","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT330","PRINCIPLES OF MARKETING","453","95025","","TBA"," ","Closed","30","30","Aziz, Summaya","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95025","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT330","PRINCIPLES OF MARKETING","455","95026","","TBA"," ","Closed","30","30","Olotewo, Akpesiri","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95026","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT330","PRINCIPLES OF MARKETING","457","95027","","TBA"," ","Closed","30","30","Olotewo, Akpesiri","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95027","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT330","PRINCIPLES OF MARKETING - HONORS","HM1","95028","TR","4:00 PM - 5:20 PM","KUPF 209","Open","10","8","Thomas, Ellen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95028","Honors Course"
"202690","MRKT331","CUSTOMER INSIGHTS","451","95029","","TBA"," ","Closed","30","30","Elowitz, Ronald","Online Newark","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95029","Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT360","DIGITAL MARKETING","001","95030","MW","8:30 AM - 9:50 AM","CKB 217","Open","43","19","Punyatoya, Plavini","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95030",""
"202690","MRKT378","MARKETING ANALYTICS","001","95031","TR","10:00 AM - 11:20 AM","CAB 3052","Open","43","13","Fresneda Fernandez, Jorge Eduardo","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95031",""
"202690","MRKT620","GLOBAL MARKETING MANAGEMENT","851","95032","","TBA"," ","Open","30","7","Mehta, Rajiv","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95032","Open to Newark and Virtual Campus Students<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT632","STRATEGIC MRKT MANAGEMENT","101","95033","T","6:00 PM - 8:50 PM","KUPF 107","Open","43","4","Zhang, Haisu","Hybrid","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95033","Hybrid Course - Meets Alternate Weeks<br />Face-to-face meetings held alternate weeks starting 9/1/26"
"202690","MRKT632","STRATEGIC MRKT MANAGEMENT","851","95034","","TBA"," ","Open","30","10","Thomas, Ellen","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95034","Open to Newark and Virtual Campus Students<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT632","STRATEGIC MRKT MANAGEMENT","853","95035","","TBA"," ","Open","30","2","Thomas, Ellen","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95035","Open to Newark and Virtual Campus Students<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT636","DES/DEV HIGH TECH PROD","851","95036","","TBA"," ","Open","30","12","Roy, Raja","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95036","Open to Newark and Virtual Campus Students<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","MRKT645","DIGITAL MARKETING STRATEGY","851","95037","","TBA"," ","Open","30","7","Punyatoya, Plavini","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95037","Restricted to company cohort<br />Online Course - no required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery<br />Request permission from advisor"
