"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","MTSE602","THERMODYNAMICS OF MATERL","101","95278","W","6:00 PM - 8:50 PM","FMH 407","Open","25","0","Tyson, Trevor","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95278",""
"202690","MTSE690","DIRECTED STUDY IN MTSE","792","95279","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95279","See department for permission to enroll."
"202690","MTSE690","DIRECTED STUDY IN MTSE","796","95280","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95280","See department for permission to enroll."
"202690","MTSE700B","MASTER'S PROJECT","792","95281","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95281","See department for permission to enroll."
"202690","MTSE700B","MASTER'S PROJECT","796","95282","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95282","See department for permission to enroll."
"202690","MTSE701B","MASTER'S THESIS","071","95283","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95283","See department for permission to enroll."
"202690","MTSE701B","MASTER'S THESIS","072","95284","","TBA"," ","Open","19","0","Jaffe, Michael","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95284","See department for permission to enroll."
"202690","MTSE701B","MASTER'S THESIS","093","95285","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95285","See department for permission to enroll."
"202690","MTSE701B","MASTER'S THESIS","304","95286","","TBA"," ","Open","19","0","Arinzeh, Treena","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95286","See department for permission to enroll."
"202690","MTSE701B","MASTER'S THESIS","792","95287","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95287","See department for permission to enroll."
"202690","MTSE701B","MASTER'S THESIS","796","95288","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95288","See department for permission to enroll."
"202690","MTSE701C","MASTER'S THESIS","792","95289","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95289","See department for permission to enroll."
"202690","MTSE701C","MASTER'S THESIS","796","95290","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95290","See department for permission to enroll."
"202690","MTSE724","TRANPORT OF ELECTONS & PHOTONS","101","95291","M","6:00 PM - 8:50 PM","FMH 106","Open","25","0","Jerez, Andres","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95291",""
"202690","MTSE725","INDEPENDENT STUDY I","792","95292","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95292","See department for permission to enroll."
"202690","MTSE725","INDEPENDENT STUDY I","796","95293","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95293","See department for permission to enroll."
"202690","MTSE726","INDEPENDENT STUDY II","792","95294","","TBA"," ","Open","19","0","Ravindra, N.","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95294","See department for permission to enroll."
"202690","MTSE726","INDEPENDENT STUDY II","796","95295","","TBA"," ","Open","19","0","Ahn, Keun Hyuk","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95295","See department for permission to enroll."
"202690","MTSE726","INDEPENDENT STUDY II","804","95296","","TBA"," ","Open","19","0","Hofmann, Tino","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95296","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","071","95297","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95297","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","072","95298","","TBA"," ","Open","19","0","Jaffe, Michael","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95298","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","080","95299","","TBA"," ","Open","19","0","Armenante, Piero","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95299","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","119","95300","","TBA"," ","Open","19","0","Wang, Xianqin","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95300","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","131","95301","","TBA"," ","Open","19","0","Sadik, Wunmi","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95301","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","148","95302","","TBA"," ","Open","19","0","Mitra, Somenath","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95302","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","304","95303","","TBA"," ","Open","19","0","Arinzeh, Treena","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95303","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","448","95304","","TBA"," ","Open","19","0","Datta, Dibakar","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95304","See department for permission to enroll."
"202690","MTSE790A","DOCTORAL DISSERTATION","486","95305","","TBA"," ","Open","19","0","Khusid, Boris","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95305","See department for permission to enroll."
