"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","PE115","STRNGTH TRNING & CONDING","001","95333","W","1:00 PM - 2:20 PM","WEC FITCENTR","Open","15","2","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95333",""
"202690","PE115","STRNGTH TRNING & CONDING","003","96130","TR","8:30 AM - 9:50 AM","WEC FITCENTR","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96130","Class meets first half of the semester."
"202690","PE115","STRNGTH TRNING & CONDING","005","96131","TR","11:30 AM - 12:50 PM","WEC FITCENTR","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96131","Class meets first half of the semester."
"202690","PE115","STRNGTH TRNING & CONDING","007","95334","F","8:30 AM - 9:50 AM","WEC FITCENTR","Open","15","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95334",""
"202690","PE115","STRNGTH TRNING & CONDING","009","95335","W","11:30 AM - 12:50 PM","WEC FITCENTR","Open","15","2","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95335",""
"202690","PE117","JOGGING","001","96132","TR","1:00 PM - 2:20 PM","WEC TRACK","Open","15","3","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96132","Class meets first half of the semester."
"202690","PE118","WALKING","001","96156","TR","1:00 PM - 2:20 PM","DHRH FIT","Open","15","3","Callahan, Brian","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96156","Class meets last half of the semester."
"202690","PE129","INDIVIDUALIZED FITNESS","001","95336","M","4:00 PM - 5:20 PM","WEC FITCENTR","Open","20","4","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95336",""
"202690","PE129","INDIVIDUALIZED FITNESS","003","96133","MW","10:00 AM - 11:20 AM","WEC FITCENTR","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96133","Class meets first half of the semester."
"202690","PE129","INDIVIDUALIZED FITNESS","005","96134","TR","10:00 AM - 11:20 AM","WEC FITCENTR","Open","15","2","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96134","Class meets first half of the semester."
"202690","PE129","INDIVIDUALIZED FITNESS","007","96135","TR","1:00 PM - 2:20 PM","WEC FITCENTR","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96135","Class meets first half of the semester."
"202690","PE129","INDIVIDUALIZED FITNESS","009","96136","TR","2:30 PM - 3:50 PM","WEC FITCENTR","Open","15","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96136","Class meets first half of the semester."
"202690","PE129","INDIVIDUALIZED FITNESS","101","95337","M","6:00 PM - 7:20 PM","WEC FITCENTR","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95337",""
"202690","PE133","SWIM FOR HEALTH","001","95339","T","10:00 AM - 11:20 AM","WEC POOL","Open","12","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95339",""
"202690","PE135","BEGINNING SWIMMING","001","95340","R","10:00 AM - 11:20 AM","WEC POOL","Open","10","2","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95340",""
"202690","PE136","INTRO TO KARATE","101","95341","T","7:00 PM - 8:20 PM","WEC GRPEXER","Open","15","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95341",""
"202690","PE136","INTRO TO KARATE","103","95342","R","7:00 PM - 8:20 PM","WEC GRPEXER","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95342",""
"202690","PE139","INDIVIDUALIZED FITNESS II","001","95343","","TBA","WEC FITCENTR","Open","5","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95343","Department permission required"
"202690","PE139","INDIVIDUALIZED FITNESS II","003","96157","MW","10:00 AM - 11:20 AM","WEC FITCENTR","Open","15","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96157","Class meets last half of the semester."
"202690","PE139","INDIVIDUALIZED FITNESS II","005","96158","TR","10:00 AM - 11:20 AM","WEC FITCENTR","Open","20","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96158","Class meets last half of the semester."
"202690","PE139","INDIVIDUALIZED FITNESS II","007","96159","TR","1:00 PM - 2:20 PM","WEC FITCENTR","Open","20","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96159","Class meets last half of the semester."
"202690","PE139","INDIVIDUALIZED FITNESS II","009","96160","TR","2:30 PM - 3:50 PM","WEC FITCENTR","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96160","Class meets last half of the semester."
"202690","PE140","CIRCUIT TRAINING","001","96161","TR","8:30 AM - 9:50 AM","WEC FITCENTR","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96161","Class meets last half of the semester"
"202690","PE140","CIRCUIT TRAINING","003","95344","F","10:00 AM - 11:20 AM","WEC FITCENTR","Open","15","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95344",""
"202690","PE140","CIRCUIT TRAINING","005","96162","TR","11:30 AM - 12:50 PM","WEC FITCENTR","Open","15","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96162","Class meets last half of the semester."
"202690","PE141","INTRODUCTION TO DANCE","001","96268","M","11:30 AM - 12:50 PM","WEC GRPEXER","Open","20","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96268","Modern Dances"
"202690","PE145","AIR FORCE PHYSICAL TRAINING I","001","95345","T","7:00 AM - 8:00 AM","WEC TRACK","Open","60","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95345",""
"202690","PE150","BEGINNING YOGA","003","95346","T","10:00 AM - 11:20 AM","WEC GRPEXER","Open","20","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95346",""
"202690","PE150","BEGINNING YOGA","005","95347","R","10:00 AM - 11:20 AM","WEC GRPEXER","Open","20","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95347",""
"202690","PE150","BEGINNING YOGA","101","95348","M","7:00 PM - 8:20 PM","WEC GRPEXER","Open","20","2","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95348",""
"202690","PE150","BEGINNING YOGA","103","95349","W","6:00 PM - 7:20 PM","WEC GRPEXER","Open","20","4","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95349",""
"202690","PE171","LATIN DANCE","001","95351","T","1:00 PM - 2:20 PM","WEC GRPEXER","Open","40","2","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95351",""
"202690","PE180","ZUMBA FITNESS","005","95352","W","10:00 AM - 11:20 AM","WEC GRPEXER","Open","40","3","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95352",""
"202690","PE211","INTRO BOWLING & ARCHERY","101","95353","T","7:30 PM - 8:50 PM","CTR BOWL","Open","20","1","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95353","Bowling Only Section"
"202690","PE211","INTRO BOWLING & ARCHERY","103","95354","R","6:00 PM - 7:20 PM","CTR BOWL","Open","20","3","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95354","Bowling Only Section"
"202690","PE242","INTRODUCTION TO RACQUETBALL","001","95355","T","4:30 PM - 5:50 PM","WEC RACQ","Open","10","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95355",""
"202690","PE242","INTRODUCTION TO RACQUETBALL","003","95356","R","4:30 PM - 5:50 PM","WEC RACQ","Open","10","5","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95356",""
"202690","PE245","AIR FORCE PHYSICAL TRAINING II","001","95357","W","5:50 PM - 6:40 PM"," ","Closed","0","0","","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95357",""
