"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","PHEN590","GRADUATE CO-OP WORK EXPER I","084","95358","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95358","See department for permission to enroll."
"202690","PHEN591","GRADUATE CO-OP WORK EXPER II","084","95359","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95359","See department for permission to enroll."
"202690","PHEN592","GRADUATE CO-OP WORK EXPER III","084","95360","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","1","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95360","See department for permission to enroll."
"202690","PHEN593","GRADUATE CO-OP WORK EXP IV","084","95361","","TBA"," ","Open","19","0","Obuskovic, Gordana","Face-to-Face","0","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95361","See department for permission to enroll."
"202690","PHEN601","PRINC OF PHARMCTCL ENGR","101","95362","T","6:00 PM - 8:50 PM","TIER 114","Open","30","4","Bernhardt, Marc","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95362",""
"202690","PHEN602","PHARMACEUTICAL FACILITY DESIGN","101","95363","F","6:00 PM - 8:50 PM","CKB 341","Open","30","1","Lechich, Robert","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95363",""
"202690","PHEN603","PHARM UNIT OPER:LIQ&DISP SYS","851","95364","","TBA"," ","Open","30","4","Armenante, Piero","Online Virtual","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95364","Open to Newark and Virtual Campus Students<br />Online Course – No required meeting times<br />https://www.njit.edu/registrar/instructionaldelivery"
"202690","PHEN608","UNIT OPS IN BIOPROCESS ENG","101","95365","R","6:00 PM - 8:50 PM","CKB 341","Open","30","0","Basuray, Sagnik","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95365",""
"202690","PHEN700B","MASTER'S PROJECT","090","95366","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95366","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","070","95367","","TBA"," ","Open","19","0","Collins, George","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95367","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","071","95368","","TBA"," ","Open","19","0","Sirkar, Kamalesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95368","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","080","95369","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95369","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","088","95370","","TBA"," ","Open","19","0","Basuray, Sagnik","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95370","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","090","95371","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95371","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","093","95372","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95372","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","103","95373","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95373","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","111","95374","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95374","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","116","95375","","TBA"," ","Open","19","0","Gogos, Costas","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95375","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","119","95376","","TBA"," ","Open","19","0","Wang, Xianqin","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95376","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","217","95377","","TBA"," ","Open","19","0","Guvendiren, Murat","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95377","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","445","95378","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95378","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","486","95379","","TBA"," ","Open","19","0","Khusid, Boris","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95379","See department for permission to enroll."
"202690","PHEN701B","MASTER'S THESIS","487","95380","","TBA"," ","Open","19","0","Dreyzin, Edward","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95380","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","070","95381","","TBA"," ","Open","19","0","Collins, George","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95381","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","080","95382","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95382","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","090","95383","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95383","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","093","95384","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95384","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","103","95385","","TBA"," ","Open","19","0","","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95385","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","111","95386","","TBA"," ","Open","19","0","Simon, Laurent","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95386","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","217","95387","","TBA"," ","Open","19","0","Guvendiren, Murat","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95387","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","445","95388","","TBA"," ","Open","19","0","Dave, Rajesh","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95388","See department for permission to enroll."
"202690","PHEN701C","MASTER'S THESIS","486","95389","","TBA"," ","Open","19","0","Khusid, Boris","Face-to-Face","6","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95389","See department for permission to enroll."
"202690","PHEN725","INDEPENDENT STUDY","091","95390","","TBA"," ","Open","19","0","Xu, Xiaoyang","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95390","See department for permission to enroll."
"202690","PHEN725","INDEPENDENT STUDY","093","95391","","TBA"," ","Open","19","0","McEnnis, Kathleen","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95391","See department for permission to enroll."
"202690","PHEN725","INDEPENDENT STUDY","103","95392","","TBA"," ","Open","19","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95392","See department for permission to enroll."
"202690","PHEN725","INDEPENDENT STUDY","217","95393","","TBA"," ","Open","19","0","Guvendiren, Murat","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95393","See department for permission to enroll."
