"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","PHIL334","ENGINEERING ETHICS","001","95394","MW","11:30 AM - 12:50 PM","FMH 407","Open","30","21","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95394",""
"202690","PHIL334","ENGINEERING ETHICS","003","95395","MW","8:30 AM - 9:50 AM","FMH 403","Open","27","3","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95395",""
"202690","PHIL334","ENGINEERING ETHICS","005","95396","TF","4:00 PM - 5:20 PM","WEST LECT 2","Closed","27","27","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95396",""
"202690","PHIL334","ENGINEERING ETHICS","007","95397","MW","10:00 AM - 11:20 AM","FMH 405","Open","27","6","Edel, Gareth","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95397",""
"202690","PHIL334","ENGINEERING ETHICS","009","95398","MW","1:00 PM - 2:20 PM","FMH 403","Closed","27","27","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95398",""
"202690","PHIL334","ENGINEERING ETHICS","011","95399","MW","11:30 AM - 12:50 PM","FMH 321","Closed","27","27","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95399",""
"202690","PHIL334","ENGINEERING ETHICS","013","95400","TF","2:30 PM - 3:50 PM","CKB 114","Closed","27","27","Burnside, Andrew","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95400",""
"202690","PHIL334","ENGINEERING ETHICS","015","95401","TF","1:00 PM - 2:20 PM","FMH 404","Open","27","10","Estrada, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95401",""
"202690","PHIL334","ENGINEERING ETHICS","017","95402","TR","10:00 AM - 11:20 AM","FMH 409","Open","30","23","Anis, Manail","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95402",""
"202690","PHIL334","ENGINEERING ETHICS","019","95403","TR","1:00 PM - 2:20 PM","FMH 409","Open","27","21","Anis, Manail","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95403",""
