"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","SDET101","FUND OF SOFT AND DATA","001","95803","MW","9:15 AM - 11:20 AM","CKB 219","Closed","0","0","Iaboni, Craig","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95803","Students must bring their own device for this section."
"202690","SDET101","FUND OF SOFT AND DATA","003","95804","MR","1:00 PM - 3:05 PM","CKB 219","Closed","0","0","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95804","Students must bring their own device for this section."
"202690","SDET101","FUND OF SOFT AND DATA","101","95805","R","6:00 PM - 10:05 PM","CKB 114","Open","15","13","Iaboni, Craig","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95805","Students must bring their own device for this section."
"202690","SDET325","MEDICAL INFORMATICS TECHNOLOGY","101","95806","F","6:00 PM - 8:50 PM","CKB 212","Open","30","7","Lubliner, David","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95806",""
"202690","SDET335","NETWORK APPLICATIONS I","101","96284","R","6:00 PM - 10:05 PM","CKB 217","Closed","30","30","Vanderbilt, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=96284","Students must bring their own device for this section."
"202690","SDET341","VISUAL BASIC .NET","101","95807","R","6:00 PM - 10:05 PM","CKB 219","Open","30","17","Tereshkovich, William","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95807","Students must bring their own device for this section."
"202690","SDET345","NETWORK APPLICATIONS II","101","95808","F","6:00 PM - 10:05 PM","CKB 207","Open","30","17","Vanderbilt, Richard","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95808",""
"202690","SDET373","WEB APP DEVELOPMENT FOR MOBILE","101","95809","W","6:00 PM - 10:05 PM","CKB 222","Closed","30","30","Nasello, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95809","Students must bring their own device for this section."
"202690","SDET373","WEB APP DEVELOPMENT FOR MOBILE","103","95810","R","6:00 PM - 10:05 PM","CKB 207","Closed","30","30","Nasello, Daniel","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95810",""
"202690","SDET420","SOFTWARE WEB APPLICATIONS I","101","95811","W","6:00 PM - 10:05 PM","CULM 110","Open","30","18","Aslam, Ersal","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95811",""
