"Term","Course","Title","Section","CRN","Days","Times","Location","Status","Max","Now","Instructor","Delivery Mode","Credits","Info","Comments"
"202690","THTR201","INTRO TO THEATRE","001","95843","MW","10:00 AM - 11:20 AM","KUPF 110","Open","25","9","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95843",""
"202690","THTR202","ACTING FUNDAMENTALS","001","95844","TR","10:00 AM - 11:20 AM","KUPF 110","Open","25","8","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95844",""
"202690","THTR213","THEATRE DIRECTING","001","95845","MW","1:00 PM - 2:20 PM","KUPF 110","Open","25","23","Reyes, Rodney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95845",""
"202690","THTR250","THEATRICAL DESIGN FUNDAMENTALS","001","95846","TR","11:30 AM - 12:50 PM","KUPF 110","Open","25","10","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95846",""
"202690","THTR252","THEATRICAL SOUND DESIGN","001","95847","MW","11:30 AM - 12:50 PM","KUPF 110","Open","25","7","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95847",""
"202690","THTR257","STAGE MANAGEMENT","001","95848","TR","1:00 PM - 2:20 PM","KUPF 110","Open","25","10","Edwards, Emily","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95848",""
"202690","THTR258","STAGECRAFT I","101","95849","M","6:00 PM - 8:50 PM","KUPF 129","Open","25","10","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95849",""
"202690","THTR280","THEATRE FUNDAMENTALS","001","95850","","TBA"," ","Open","19","3","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95850","See department for permission to enroll."
"202690","THTR350","CREATIVITY + COLLABORATION","001","95851","TR","2:30 PM - 3:50 PM","KUPF 110","Open","25","9","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95851",""
"202690","THTR361","STAGECRAFT III","101","95852","R","6:00 PM - 8:50 PM","KUPF 129","Open","25","6","","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95852",""
"202690","THTR480","THEATRE ADVANCED PRACTICUM","661","95853","","TBA"," ","Open","19","1","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95853","See department for permission to enroll."
"202690","THTR483","INDEPENDENT STUDY IN THEATER I","661","95854","","TBA"," ","Open","19","0","Self, Courtney","Face-to-Face","3","https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=584&term_id-1=2026 Fall&crn-1=95854","Permission of instructor required<br />See department for permission to enroll."
